kingdom,phylum,ERR1713331,ERR1713332,ERR1725942,ERR1725946,ERR1725948,ERR1725949,ERR1725950,ERR1725952,ERR1713339,ERR1713340,ERR1725960,ERR1713342,ERR1725963,ERR1713344,ERR1725965,ERR1713346,ERR1725966,ERR1725968,ERR1713349,ERR1713350,ERR1713351,ERR1713352,ERR1713353,ERR1725971,ERR1713355,ERR1713356,ERR1713357,ERR1713358,ERR1713359,ERR1725977,ERR1713361,ERR1713362,ERR1725979,ERR1713364,ERR1713365,ERR1725984,ERR1713367,ERR1713368,ERR1725985,ERR1713370,ERR1713371,ERR1713372,ERR1713373,ERR1725988,ERR1725991,ERR1713376,ERR1725995,ERR1713378,ERR1725998,ERR1713380,ERR1713381,ERR1713382,ERR1713383,ERR1713384,ERR1713385,ERR1713386,ERR1726001,ERR1713388,ERR1713389,ERR1726004,ERR1713391,ERR1726006,ERR1726007,ERR1713394,ERR1713395,ERR1713396,ERR1713397,ERR1713398,ERR1726013,ERR1713400,ERR1726017,ERR1713402,ERR1713403,ERR1726026,ERR1713405,ERR1713406,ERR1713407,ERR1713408,ERR1713409,ERR1713410,ERR1726032
Bacteria,Fibrobacteres,5,0,3,0,4,0,18,0,3,0,0,6,1,22,0,1,1,2,1,2,2,0,16,0,1,0,0,0,0,4,3,30,2,4,1,1,28,3,2,4,2,3,0,0,2,1,0,6,31,0,6,0,11,14,6,1,1,0,23,2,2,0,0,0,0,0,9,1,0,1,0,0,0,0,81,5,0,9,0,7,3
Bacteria,Firmicutes,13756,2344,49585,6752,2180,1198,16832,1553,2215,1010,5712,23906,2540,5531,3463,16092,4541,2924,21389,39899,4835,1720,7098,5182,34655,19357,1144,5821,4025,1869,1576,31500,7330,7522,5750,10616,7166,20012,13549,16931,7702,17888,8924,17405,5213,7365,3172,13513,2958,8423,67559,8303,16416,42439,16243,13544,903,18117,13003,6223,5270,5700,504,26793,1533,3283,13625,15026,19252,19033,9185,16595,4097,1663,31342,13434,1954,29896,14773,20000,11002
Bacteria,Fusobacteria,4136,545,7488,359,251,100,133,86,672,354,1971,10363,370,594,99,310,9300,687,6864,12710,541,1847,111,610,18586,4097,100,90,57,961,126,934,448,1936,567,740,2197,5815,979,138,89,833,1003,5223,1699,2324,65,176,604,726,397,1783,1668,1089,1903,446,44,1174,1167,207,451,251,7,63,345,45,3871,1099,2273,2329,1647,1694,359,124,16286,1432,75,2197,3183,913,1633
Bacteria,Gemmatimonadetes,9,4,14,0,2,3,13,0,1,0,1,3,1,37,0,1,2,0,5,8,2,3,0,1,7,6,1,5,3,0,0,4,2,4,2,2,13,2,1,8,12,5,1,7,1,7,0,2,19,3,12,7,5,4,9,15,0,8,5,3,1,3,0,5,3,0,15,9,6,9,3,3,1,0,10,5,3,19,7,8,3
Bacteria,Lentisphaerae,8,1,0,0,3,0,58,0,0,1,6,4,0,6,0,6,1,4,5,6,1,0,5,0,5,7,0,3,0,0,1,34,0,3,0,0,8,5,5,2,4,2,1,2,2,25,0,11,46,0,3,0,4,9,20,4,0,3,12,6,1,0,0,32,0,20,0,3,2,1,0,0,0,0,39,1,0,1,0,5,12
Bacteria,Nitrospirae,1,1,1,0,0,0,12,0,0,0,0,0,6,250,0,2,3,0,0,0,2,0,1,0,0,0,0,4,1,0,1,2,0,0,0,1,84,2,2,9,0,2,2,2,0,0,0,2,59,40,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,96,2,0,1,6,0,0,0,0,1,0,1,0,0,0
Bacteria,Planctomycetes,13,38,118,6,16,1,54,2,3,2,2,17,5,324,10,22,31,9,41,62,10,25,21,114,80,48,2,133,9,9,13,23,8,56,11,29,196,47,30,102,5,109,14,55,13,363,2,59,91,21,24,9,56,79,93,24,9,76,38,7,16,9,0,8,6,4,215,11,53,40,9,32,24,4,107,216,5,30,38,41,14
Bacteria,Proteobacteria,81109,27543,52512,9745,18734,4271,36086,1238,2629,1886,5564,33912,6238,31086,6416,7801,15852,4446,51897,65166,5465,90518,6526,12801,56712,22476,53683,12397,165653,6535,1917,27780,36184,25597,61910,7754,79595,71396,23571,34109,172778,60672,10154,100796,11522,52201,3836,13681,10882,60925,7793,129952,11340,28968,26562,247082,3624,33095,30029,2944,7343,23234,15031,54202,75744,6646,23830,25078,20178,20869,7673,21401,5696,1904,55762,32405,163024,51975,15853,18016,19565
Bacteria,Spirochaetes,22,5,42,2,1,0,340,6,2,1,2,33,1,561,0,28,1,0,89,19,4,3,31,11,31,8,0,44,6,2,96,408,2,20,20,9,112,32,29,67,6,19,18,8,2,23,1,21,707,9,47,5,76,310,79,22,36,4,18,25,7,0,0,2821,4,103,70,65,13,29,2,20,15,3,92,41,7,20,14,33,43
Bacteria,Synergistetes,52,21,270,6,28,10,608,7,30,91,68,182,16,183,95,626,42,52,72,50,2,37,164,128,345,66,15,929,70,7,65,239,20,71,9,25,116,115,236,2695,33,48,84,50,28,622,30,948,535,14,113,34,527,934,103,275,71,51,185,52,51,10,0,3401,23,10,87,73,266,278,20,130,126,16,601,306,231,24,69,205,189
Bacteria,Tenericutes,239,25,321,71,15,11,405,29,26,12,24,159,32,72,36,108,36,34,241,612,49,42,92,54,473,142,20,35,148,6,54,281,94,97,29,174,62,181,152,50,75,145,125,225,60,145,11,144,235,76,1113,51,272,545,417,168,7,217,66,45,91,57,2,23267,28,31,400,98,74,101,27,56,13,7,188,123,29,267,230,173,165
Bacteria,Thermi,4,0,1,0,0,0,0,0,0,0,1,16,0,4,0,0,0,2,9,2,4,0,0,0,1,3,0,4,2,0,0,0,0,0,16,0,0,11,0,0,1,1,2,0,0,2,0,0,0,3,3,0,1,3,0,1,0,0,27,0,1,2,0,0,0,3,10,1,1,2,1,0,0,0,2,0,0,0,0,2,0
Bacteria,Thermotogae,0,4,0,0,0,2,0,2,2,2,0,4,1,0,6,3,6,0,11,0,0,0,1,0,2,0,0,3,2,0,7,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,156,1,0,0,12,0,3,4,1,0,0,567,0,0,0,2,9,0,0,1,2,2,0,2,2,0,7,1,0,0,5,0,0
Bacteria,Verrucomicrobia,120,48,377,74,22,23,726,75,54,96,102,369,78,378,98,3476,55,97,323,518,52,27,809,334,202,243,13,1017,287,13,55,217,118,151,36,483,562,195,284,1783,87,236,119,216,80,384,34,936,528,109,131,64,397,817,157,161,138,272,251,119,119,103,4,390,22,13,249,252,367,340,100,275,466,36,695,990,47,68,247,369,264
