sample_id,dropped_analysis_id
ERS1426778,ERR1725938
ERS1426779,ERR1725939
ERS1426779,ERR1725940
ERS1426780,ERR1725943
ERS1426780,ERR1725941
ERS1426780,ERR1725944
ERS1426780,ERR1713333
ERS1426781,ERR1725945
ERS1426781,ERR1713334
ERS1426782,ERR1713335
ERS1426782,ERR1725947
ERS1426783,ERR1713336
ERS1426784,ERR1725951
ERS1426784,ERR1713337
ERS1426785,ERR1725953
ERS1426785,ERR1713338
ERS1426786,ERR1725954
ERS1426787,ERR1725956
ERS1426787,ERR1725958
ERS1426787,ERR1725955
ERS1426787,ERR1725957
ERS1426788,ERR1713341
ERS1426788,ERR1725959
ERS1426790,ERR1713343
ERS1426790,ERR1725964
ERS1426790,ERR1725961
ERS1426790,ERR1725962
ERS1426792,ERR1713345
ERS1426794,ERR1713347
ERS1426795,ERR1713348
ERS1426795,ERR1725967
ERS1426801,ERR1725970
ERS1426801,ERR1725969
ERS1426801,ERR1725972
ERS1426801,ERR1713354
ERS1426803,ERR1725973
ERS1426804,ERR1725975
ERS1426804,ERR1725974
ERS1426807,ERR1725976
ERS1426807,ERR1713360
ERS1426809,ERR1725978
ERS1426810,ERR1725980
ERS1426810,ERR1713363
ERS1426811,ERR1725981
ERS1426812,ERR1725982
ERS1426813,ERR1725983
ERS1426813,ERR1713366
ERS1426816,ERR1713369
ERS1426816,ERR1725986
ERS1426820,ERR1725987
ERS1426821,ERR1713374
ERS1426821,ERR1725989
ERS1426822,ERR1713375
ERS1426822,ERR1725990
ERS1426823,ERR1725993
ERS1426823,ERR1725992
ERS1426824,ERR1725994
ERS1426824,ERR1713377
ERS1426825,ERR1725996
ERS1426826,ERR1725997
ERS1426826,ERR1713379
ERS1426827,ERR1725999
ERS1426830,ERR1726000
ERS1426834,ERR1713387
ERS1426835,ERR1726002
ERS1426836,ERR1726003
ERS1426837,ERR1713390
ERS1426839,ERR1713392
ERS1426839,ERR1726005
ERS1426840,ERR1726008
ERS1426840,ERR1713393
ERS1426842,ERR1726009
ERS1426845,ERR1726010
ERS1426845,ERR1726011
ERS1426846,ERR1713399
ERS1426846,ERR1726012
ERS1426846,ERR1726014
ERS1426846,ERR1726015
ERS1426848,ERR1713401
ERS1426848,ERR1726016
ERS1426849,ERR1726018
ERS1426849,ERR1726019
ERS1426850,ERR1726020
ERS1426850,ERR1726021
ERS1426850,ERR1726023
ERS1426850,ERR1726022
ERS1426851,ERR1726028
ERS1426851,ERR1726024
ERS1426851,ERR1726029
ERS1426851,ERR1713404
ERS1426851,ERR1726027
ERS1426851,ERR1726025
ERS1426856,ERR1726030
ERS1426857,ERR1726031
ERS1426858,ERR1713411
ERS1426858,ERR1726034
ERS1426858,ERR1726035
ERS1426858,ERR1726033
