kingdom,phylum,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278
Bacteria,Firmicutes,10001,18104,600,11437,10705,12717,786,845,726,1085,6086,5865,5527,4916,6065,3604,4678,3742,3235,5662,2006,1750,1740,2230,1053,2178,2012,2552,2627,3918,3427,17804,21973,10793,11443,16605,21764,13877,15713,13037,14320,23694,25414,16067,15077,25949,15417,21820,21097,17597,15822,352,525,800,944,434,464,631,647,751,4295,3087,12755,14897,24769,2722,32371,21680,28344,32507
Bacteria,Fusobacteria,508,1510,30,597,611,608,15,16,11,23,10,11,16,16,22,4,0,2,5,226,38,38,38,55,10,29,30,1,3,1,1,207,265,495,504,642,886,580,595,543,680,212,289,567,762,828,518,847,794,748,622,11,0,9,9,21,23,7,16,32,4,4,1077,1233,2111,29,2073,1702,2003,2009
Bacteria,Gemmatimonadetes,96,28,39,98,77,80,228,225,243,255,32,39,37,35,36,77,109,50,35,42,175,150,220,186,101,154,113,26,19,23,22,11,19,9,12,14,17,9,13,13,13,25,24,4,17,31,18,18,20,9,11,17,0,3,11,11,21,57,52,24,77,42,15,22,27,135,48,34,39,53
Bacteria,Lentisphaerae,9,7,17,9,9,7,1,0,1,0,14,21,14,36,11,48,61,66,46,50,0,1,2,0,5,2,3,7,4,21,17,4,4,8,12,10,5,21,18,6,9,6,0,9,11,7,12,31,24,9,10,10,37,4,0,7,13,3,7,7,74,51,4,4,7,0,7,2,2,4
Bacteria,Nitrospirae,229,11,28,313,254,230,347,291,249,346,25,25,31,31,36,120,161,129,124,111,629,646,870,676,166,376,386,27,50,67,43,0,0,0,0,1,0,0,0,1,3,0,0,2,3,0,0,0,1,0,7,1,38,184,225,25,10,288,297,67,162,116,6,15,7,458,24,21,23,13
Bacteria,Planctomycetes,305,105,108,319,268,277,435,500,474,543,185,210,183,173,206,431,441,305,213,210,423,502,547,526,315,709,542,238,269,319,335,58,59,61,75,64,53,59,72,33,19,72,54,72,126,89,40,72,64,54,41,40,46,327,355,70,95,329,301,136,362,229,72,90,126,600,118,78,95,109
Bacteria,Poribacteria,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,16916,53360,10001,21171,22019,25465,12680,13711,12506,17000,4259,4353,3979,4211,5060,5595,6690,4198,3642,9918,22848,17248,18239,22114,9869,18496,21252,2920,3002,4300,3542,17680,25743,22139,20680,18587,22519,24728,28189,27454,32515,23813,19101,18290,23742,22071,14239,26905,27404,29256,28288,10342,17757,9769,8623,18216,18419,7889,8093,10578,7083,3538,38262,36392,63400,27883,38512,31369,37716,38965
Bacteria,Spirochaetes,79,95,30,100,110,128,65,102,83,126,1141,1152,1081,1310,1117,1071,1356,1937,1658,936,216,150,187,236,89,210,267,685,665,1154,1012,42,68,115,134,94,120,122,135,119,90,50,56,113,160,122,109,131,85,115,50,15,10,26,55,15,10,49,34,25,1497,1589,62,82,112,371,128,136,152,138
Bacteria,Synergistetes,54,40,28,42,40,57,2,8,3,5,461,397,416,280,478,1537,2186,1370,1258,906,0,3,6,7,2,5,4,342,296,412,413,90,88,60,53,82,103,130,111,59,68,108,76,76,74,113,56,203,243,84,115,39,0,3,15,2,4,3,2,24,1413,1268,20,49,56,1,105,52,93,87
Bacteria,Tenericutes,111,83,9,131,126,109,7,30,21,21,124,178,140,467,135,153,141,605,482,278,22,22,24,34,12,37,38,43,19,94,82,97,167,95,60,96,205,106,105,53,73,168,165,166,135,118,65,140,130,96,83,0,17,4,7,6,3,10,12,7,187,484,70,100,144,38,182,128,158,155
Bacteria,Thermi,6,9,71,3,8,8,2,6,3,2,2,3,3,5,2,1,6,8,3,3,8,10,11,16,1,2,2,3,3,2,2,7,30,7,3,5,20,16,14,21,27,16,13,7,18,27,7,8,8,54,35,0,0,34,1,0,0,1,4,69,4,0,9,3,13,4,27,12,16,30
Bacteria,Thermotogae,0,1,0,0,3,4,0,0,1,0,177,155,164,158,165,82,90,126,118,75,0,0,0,0,0,0,0,106,101,151,146,0,0,1,0,0,1,0,0,7,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,79,81,0,0,2,0,3,0,2,2
Bacteria,Verrucomicrobia,166,66,131,207,179,228,310,337,344,377,538,455,509,468,600,596,744,500,480,465,574,522,539,626,227,475,435,194,218,349,274,36,60,201,148,113,159,69,67,71,73,39,35,174,164,84,73,107,49,103,48,107,307,528,532,215,236,226,270,124,619,439,39,59,79,490,92,72,84,85
