Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERZ795058
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,flocculi,Flexilinea_flocculi,1.0
Bacteria,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermovirga,lienii,Thermovirga_lienii,1.0
