Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERZ795009,ERZ795010
Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,moraviensis,Pseudomonas_moraviensis,0.0,1.0
Eukaryota,Eukaryota,,,Arcellinida,Arcellidae,Arcella,gibbosa,Arcella_gibbosa,1.0,0.0
Eukaryota,Eukaryota,,,Arcellinida,Arcellidae,Arcella,hemisphaerica,Arcella_hemisphaerica,1.0,2.0
