sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids
ERS2640788,B1cR1-1_Exp1,SAMEA4820898,Primer B1 Experiment 1 SRT 1 day cDNA replicate 1,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729815
ERS2640789,B1cR1-1_Exp2,SAMEA4820899,Primer B1 Experiment 2 SRT 1 day cDNA replicate 1,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729816
ERS2640790,B1cR1-2_Exp1,SAMEA4820900,Primer B1 Experiment 1 SRT 1 day cDNA replicate 2,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729817
ERS2640791,B1cR1-2_Exp2,SAMEA4820901,Primer B1 Experiment 2 SRT 1 day cDNA replicate 2,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729818
ERS2640792,B1cR1-3_Exp1,SAMEA4820902,Primer B1 Experiment 1 SRT 1 day cDNA replicate 3,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729819
ERS2640793,B1cR1-3_Exp2,SAMEA4820903,Primer B1 Experiment 2 SRT 1 day cDNA replicate 3,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729820
ERS2640794,B1cR2-1_Exp1,SAMEA4820904,Primer B1 Experiment 1 SRT 3 day cDNA replicate 1,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729821
ERS2640795,B1cR2-1_Exp2,SAMEA4820905,Primer B1 Experiment 2 SRT 3 day cDNA replicate 1,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729822
ERS2640796,B1cR2-2_Exp1,SAMEA4820906,Primer B1 Experiment 1 SRT 3 day cDNA replicate 2,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729823
ERS2640797,B1cR2-2_Exp2,SAMEA4820907,Primer B1 Experiment 2 SRT 3 day cDNA replicate 2,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729824
