kingdom,phylum,OFEK01
Archaea,Euryarchaeota,10
Bacteria,Acidobacteria,1
Bacteria,Armatimonadetes,1
Bacteria,Bacteroidetes,12
Bacteria,Caldiserica,2
Bacteria,Chloroflexi,2
Bacteria,Elusimicrobia,2
Bacteria,Firmicutes,8
Bacteria,Gemmatimonadetes,1
Bacteria,Ignavibacteriae,5
Bacteria,Planctomycetes,1
Bacteria,Proteobacteria,9
Bacteria,Spirochaetes,6
Bacteria,Synergistetes,1
Bacteria,Tenericutes,2
Bacteria,Thermotogae,1
Bacteria,Verrucomicrobia,2
