Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERZ795030
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,flocculi,Flexilinea_flocculi,1.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,versatilis,Methylotenera_versatilis,1.0
