Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,stadtmanae,Methanosphaera_stadtmanae,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,daechungensis,Aquihabitans_daechungensis,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,lutea,Demequina_lutea,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,insulae,Nocardioides_insulae,0.0,1.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,Patulibacter,brassicae,Patulibacter_brassicae,0.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis,Parabacteroides_distasonis,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,hutchinsonii,Cytophaga_hutchinsonii,0.0,0.0,0.0,0.0,1.0,0.0
Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,xylanolytica,Cytophaga_xylanolytica,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Moheibacter,sediminis,Moheibacter_sediminis,0.0,0.0,0.0,2.0,0.0,0.0
Bacteria,Bacteria,Chloroflexi,,,,Kouleothrix,aurantiaca,Kouleothrix_aurantiaca,0.0,0.0,0.0,16.0,7.0,12.0
Bacteria,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea,aerophila,Litorilinea_aerophila,1.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Lacticigenium,naphtae,Lacticigenium_naphtae,0.0,0.0,0.0,1.0,2.0,1.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,bolteae,Lachnoclostridium_bolteae,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,phototrophica,Gemmatimonas_phototrophica,0.0,0.0,0.0,1.0,0.0,2.0
