Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_Methanobacteriaceae,0.0,0.0,0.0,0.0,0.0,2.0
Archaea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera_Methanobacteriaceae,0.0,0.0,0.0,0.0,0.0,1.0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum_Methanospirillaceae,1.0,0.0,0.0,1.0,0.0,0.0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus_Methanosarcinaceae,0.0,1.0,2.0,0.0,0.0,0.0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans_Methanosarcinaceae,0.0,0.0,1.0,0.0,0.0,0.0
Archaea,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera_Nitrososphaeraceae,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Acidobacteria,,,,Luteitalea,Luteitalea,0.0,0.0,1.0,3.0,2.0,0.0
Bacteria,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium_Acidobacteriaceae,0.0,1.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Acidobacteria,Blastocatellia,,,Aridibacter,Aridibacter,2.0,0.0,2.0,0.0,0.0,0.0
Bacteria,Bacteria,Acidobacteria,Blastocatellia,,,Blastocatella,Blastocatella,6.0,3.0,6.0,1.0,0.0,0.0
Bacteria,Bacteria,Acidobacteria,Blastocatellia,,,Stenotrophobacter,Stenotrophobacter,16.0,39.0,30.0,0.0,0.0,0.0
Bacteria,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Bryobacteraceae,Bryobacter,Bryobacter_Bryobacteraceae,7.0,6.0,11.0,16.0,16.0,8.0
Bacteria,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Bryobacteraceae,Paludibaculum,Paludibaculum_Bryobacteraceae,0.0,1.0,0.0,13.0,11.0,11.0
Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidithrix,Acidithrix_Acidimicrobiaceae,0.0,0.0,2.0,0.0,0.0,0.0
Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Ilumatobacter_Acidimicrobiaceae,9.0,11.0,19.0,1.0,3.0,5.0
