Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERZ795381
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,caenicola,Ruminiclostridium_caenicola,1.0
Bacteria,Bacteria,Thermotogae,Thermotogae,Petrotogales,,Defluviitoga,tunisiensis,Defluviitoga_tunisiensis,1.0
