Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERR3258496
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Libanicoccus,massiliensis,Libanicoccus_massiliensis,1.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,paurosaccharolyticus,Bacteroides_paurosaccharolyticus,1.0
Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella,delicata,Anaerocella_delicata,3.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,equinus,Streptococcus_equinus,1.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succinispira,mobilis,Succinispira_mobilis,1.0
Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Hypnocyclicus,thermotrophus,Hypnocyclicus_thermotrophus,4.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,soli,Variovorax_soli,4.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Formivibrio,citricus,Formivibrio_citricus,4.0
Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,hongkongensis,Laribacter_hongkongensis,14.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobotulus,sapovorans,Desulfobotulus_sapovorans,1.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvus,thunnarius,Desulfocurvus_thunnarius,1.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,piger,Desulfovibrio_piger,5.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,thiophila,Desulfuromonas_thiophila,23.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter,ehrlichii,Geothermobacter_ehrlichii,2.0
Bacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,butzleri,Arcobacter_butzleri,50.0
Bacteria,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,deleyianum,Sulfurospirillum_deleyianum,9.0
Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium,warmingii,Allochromatium_warmingii,1.0
Bacteria,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminivibrio,pyruvatiphilus,Aminivibrio_pyruvatiphilus,7.0
Bacteria,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminomonas,paucivorans,Aminomonas_paucivorans,14.0
