kingdom,phylum,ERZ795053
Archaea,Euryarchaeota,2
Bacteria,Acidobacteria,1
Bacteria,Actinobacteria,14
Bacteria,Bacteroidetes,39
Bacteria,Caldiserica,2
Bacteria,Chlamydiae,1
Bacteria,Chloroflexi,14
Bacteria,Fibrobacteres,1
Bacteria,Firmicutes,27
Bacteria,Gemmatimonadetes,1
Bacteria,Kiritimatiellaeota,1
Bacteria,Planctomycetes,13
Bacteria,Proteobacteria,36
Bacteria,Spirochaetes,9
Bacteria,Synergistetes,2
Bacteria,Tenericutes,6
Bacteria,Thermotogae,6
Bacteria,Verrucomicrobia,4
Eukaryota,Nematoda,3
