kingdom,phylum,ERZ795029
Archaea,Euryarchaeota,3
Bacteria,Actinobacteria,7
Bacteria,Armatimonadetes,2
Bacteria,Bacteroidetes,19
Bacteria,Chloroflexi,2
Bacteria,Firmicutes,49
Bacteria,Lentisphaerae,1
Bacteria,Nitrospirae,2
Bacteria,Planctomycetes,4
Bacteria,Proteobacteria,29
Bacteria,Synergistetes,2
Bacteria,Tenericutes,5
Bacteria,Thermotogae,3
Bacteria,Verrucomicrobia,2
Eukaryota,Chordata,1
Eukaryota,Nematoda,2
