kingdom,phylum,ERZ795059
Archaea,Euryarchaeota,5
Bacteria,Acidobacteria,5
Bacteria,Actinobacteria,3
Bacteria,Bacteroidetes,27
Bacteria,Caldiserica,1
Bacteria,Calditrichaeota,2
Bacteria,Chloroflexi,5
Bacteria,Fibrobacteres,2
Bacteria,Firmicutes,15
Bacteria,Ignavibacteriae,2
Bacteria,Kiritimatiellaeota,1
Bacteria,Lentisphaerae,2
Bacteria,Planctomycetes,3
Bacteria,Proteobacteria,32
Bacteria,Spirochaetes,16
Bacteria,Synergistetes,2
Bacteria,Tenericutes,2
Bacteria,Thermotogae,5
Bacteria,Verrucomicrobia,10
Eukaryota,Cryptomycota,3
