kingdom,phylum,ERR1076078
Archaea,Euryarchaeota,5
Bacteria,Acidobacteria,59
Bacteria,Actinobacteria,291
Bacteria,Armatimonadetes,11
Bacteria,Bacteroidetes,298
Bacteria,Caldithrix,0
Bacteria,Chlamydiae,3
Bacteria,Chlorobi,21
Bacteria,Chloroflexi,871
Bacteria,Cyanobacteria,17
Bacteria,Elusimicrobia,9
Bacteria,Fibrobacteres,1
Bacteria,Firmicutes,63
Bacteria,Fusobacteria,0
Bacteria,Gemmatimonadetes,16
Bacteria,Lentisphaerae,3
Bacteria,Nitrospirae,18
Bacteria,Planctomycetes,85
Bacteria,Proteobacteria,2787
Bacteria,Spirochaetes,12
Bacteria,Synergistetes,1
Bacteria,Thermi,0
Bacteria,Thermotogae,0
Bacteria,Verrucomicrobia,30
