kingdom,phylum,ERZ1764620,ERZ1764613,ERZ1764614,ERZ1764618,ERZ1764622,ERZ1764624
Unassigned,Thaumarchaeota,1,0,0,0,0,0
Unassigned,Acidobacteria,16,2,2,0,18,13
Unassigned,Actinobacteria,45,2,9,4,21,24
Unassigned,Armatimonadetes,1,0,0,0,1,0
Unassigned,Bacteroidetes,50,0,5,12,10,9
Unassigned,Balneolaeota,0,0,0,0,2,2
Unassigned,Caldiserica,2,0,0,0,0,0
Unassigned,Chlorobi,1,0,0,0,0,0
Unassigned,Chloroflexi,23,4,7,9,18,13
Unassigned,Elusimicrobia,1,0,1,0,2,1
Unassigned,Fibrobacteres,0,0,0,1,0,0
Unassigned,Firmicutes,25,1,8,8,6,9
Unassigned,Fusobacteria,1,0,0,0,0,0
Unassigned,Gemmatimonadetes,4,0,0,0,2,3
Unassigned,Ignavibacteriae,6,0,1,0,7,1
Unassigned,Kiritimatiellaeota,0,0,0,0,2,1
Unassigned,Nitrospirae,1,1,1,0,1,0
Unassigned,Planctomycetes,2,0,3,0,10,5
Unassigned,Proteobacteria,102,15,27,20,111,82
Unassigned,Spirochaetes,0,0,0,0,0,2
Unassigned,Synergistetes,1,0,0,0,0,0
Unassigned,Tenericutes,0,0,1,0,0,0
Unassigned,Verrucomicrobia,5,0,2,0,8,3
Fungi,Ascomycota,0,0,0,0,0,1
Metazoa,Arthropoda,0,0,0,0,0,1
Metazoa,Rotifera,1,0,1,0,0,0
Unassigned,Cercozoa,1,0,3,0,0,0
Unassigned,Ciliophora,0,2,5,8,0,0
Unassigned,Euglenozoa,0,0,2,0,0,0
Unassigned,Tubulinea,0,0,0,0,1,0
Viridiplantae,Streptophyta,0,0,0,0,0,2
