sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
SRS2278348,EF_VA,SAMN07190887,effluent of sewage treatment plant in Hong Hong,37.14,-80.41,"USA: Christiansburg, Virginia",,,,ERZ724506;ERZ724508;ERZ724509;ERZ724511;ERZ724530;ERZ724535;ERZ724547;ERZ724548;ERZ724555,MGYS00005035
SRS2278349,IN_HK,SAMN07190885,influent of sewage treatment plant in Hong Hong,22.4,114.21,Hong Kong,,,,ERZ724502;ERZ724503;ERZ724515;ERZ724518;ERZ724531;ERZ724534;ERZ724540;ERZ724553;ERZ724558,MGYS00005035
SRS2278350,AS_VA,SAMN07190886,activated sludge of sewage treatment plant in Hong Hong,37.14,-80.41,"USA: Christiansburg, Virginia",,,,ERZ724516;ERZ724517;ERZ724520;ERZ724527;ERZ724529;ERZ724533;ERZ724539;ERZ724546;ERZ724551;ERZ724556;ERZ724559,MGYS00005035
SRS2278351,IN_VA,SAMN07190888,influent of sewage treatment plant in Hong Hong,37.14,-80.41,"USA: Christiansburg, Virginia",,,,ERZ724504;ERZ724510;ERZ724523;ERZ724524;ERZ724525;ERZ724536;ERZ724537;ERZ724542;ERZ724554,MGYS00005035
SRS2278352,AS_HK,SAMN07190883,activated sludge of sewage treatment plant in Hong Hong,22.4,114.21,Hong Kong,,,,ERZ724507;ERZ724512;ERZ724513;ERZ724514;ERZ724519;ERZ724521;ERZ724526;ERZ724541;ERZ724545;ERZ724550;ERZ724557,MGYS00005035
SRS2278353,EF_HK,SAMN07190884,effluent of sewage treatment plant in Hong Hong,22.4,114.21,Hong Kong,,,,ERZ724505;ERZ724522;ERZ724528;ERZ724532;ERZ724538;ERZ724543;ERZ724544;ERZ724549;ERZ724552,MGYS00005035
