sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS1110331,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923197,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356697;ERR1356696,MGYS00000823
ERS1110333,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923199,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356701;ERR1356700,MGYS00000823
ERS1110335,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923201,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356705;ERR1356704,MGYS00000823
ERS1110350,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923216,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356734;ERR1356735,MGYS00000823
ERS1110352,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923218,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356738;ERR1356739,MGYS00000823
ERS1110354,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923220,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356743;ERR1356742,MGYS00000823
ERS1110330,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923196,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356695;ERR1356694,MGYS00000823
ERS1110332,Unprocessed DNA and RNA sequences from wastewater treatment plant communities,SAMEA3923198,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356699;ERR1356698,MGYS00000823
ERS1110351,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923217,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356737;ERR1356736,MGYS00000823
ERS1110355,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923221,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356745;ERR1356744,MGYS00000823
ERS1110357,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923223,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356748;ERR1356749,MGYS00000823
ERS1110358,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923224,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356751;ERR1356750,MGYS00000823
ERS1110329,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923195,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356693;ERR1356692,MGYS00000823
ERS1110338,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923204,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356710;ERR1356711,MGYS00000823
ERS1110339,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923205,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356712;ERR1356713,MGYS00000823
ERS1110341,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923207,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356717;ERR1356716,MGYS00000823
ERS1110359,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923225,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356752;ERR1356753,MGYS00000823
ERS1110340,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923206,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356714;ERR1356715,MGYS00000823
ERS1110342,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923208,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356718;ERR1356719,MGYS00000823
ERS1110343,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923209,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356721;ERR1356720,MGYS00000823
ERS1110344,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923210,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356723;ERR1356722,MGYS00000823
ERS1110345,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923211,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356725;ERR1356724,MGYS00000823
ERS1110347,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923213,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356729;ERR1356728,MGYS00000823
ERS1110346,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923212,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356726;ERR1356727,MGYS00000823
ERS1110348,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923214,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356730;ERR1356731,MGYS00000823
ERS1110349,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923215,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356733;ERR1356732,MGYS00000823
ERS1110363,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923229,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356761;ERR1356760,MGYS00000823
ERS1110364,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923230,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356763;ERR1356762,MGYS00000823
ERS1110334,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923200,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356703;ERR1356702,MGYS00000823
ERS1110336,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923202,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356707;ERR1356706,MGYS00000823
ERS1110353,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923219,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356741;ERR1356740,MGYS00000823
ERS1110360,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923226,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356754;ERR1356755,MGYS00000823
ERS1110361,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923227,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356757;ERR1356756,MGYS00000823
ERS1110362,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923228,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356758;ERR1356759,MGYS00000823
ERS1110337,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923203,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356709;ERR1356708,MGYS00000823
ERS1110356,Unprocessed DNA and RNA from wastewater treatment plant communities,SAMEA3923222,36 samples,47.4048,8.6097,Switzerland,wastewater,wastewater treatment plant,activated sludge,ERR1356746;ERR1356747,MGYS00000823
ERS2640788,B1cR1-1_Exp1,SAMEA4820898,Primer B1 Experiment 1 SRT 1 day cDNA replicate 1,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729815,MGYS00001910
ERS2640789,B1cR1-1_Exp2,SAMEA4820899,Primer B1 Experiment 2 SRT 1 day cDNA replicate 1,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729816,MGYS00001910
ERS2640790,B1cR1-2_Exp1,SAMEA4820900,Primer B1 Experiment 1 SRT 1 day cDNA replicate 2,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729817,MGYS00001910
ERS2640791,B1cR1-2_Exp2,SAMEA4820901,Primer B1 Experiment 2 SRT 1 day cDNA replicate 2,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729818,MGYS00001910
ERS2640792,B1cR1-3_Exp1,SAMEA4820902,Primer B1 Experiment 1 SRT 1 day cDNA replicate 3,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729819,MGYS00001910
ERS2640793,B1cR1-3_Exp2,SAMEA4820903,Primer B1 Experiment 2 SRT 1 day cDNA replicate 3,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729820,MGYS00001910
ERS2640794,B1cR2-1_Exp1,SAMEA4820904,Primer B1 Experiment 1 SRT 3 day cDNA replicate 1,47.4055,8.5976,Switzerland,wastewater treatment plant,sewage,sludge,ERR2729821,MGYS00001910
