sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS666855,DNA1,SAMEA3270999,DNA1,57.0495,9.8648,Denmark,wastewater treatment plant,wastewater treatment plant,activated sludge,ERR770579,MGYS00001382
ERS666856,DNA2,SAMEA3271000,DNA2,57.0495,9.8648,Denmark,wastewater treatment plant,wastewater treatment plant,activated sludge,ERR770580,MGYS00001382
ERS666857,DNA3,SAMEA3271001,DNA3,57.0495,9.8648,Denmark,wastewater treatment plant,wastewater treatment plant,activated sludge,ERR770581,MGYS00001382
ERS666858,RNA1,SAMEA3271002,RNA1,57.0495,9.8648,Denmark,wastewater treatment plant,wastewater treatment plant,activated sludge,ERR770582,MGYS00001382
ERS666859,RNA2,SAMEA3271003,RNA2,57.0495,9.8648,Denmark,wastewater treatment plant,wastewater treatment plant,activated sludge,ERR770583,MGYS00001382
ERS666860,RNA3,SAMEA3271004,RNA3,57.0495,9.8648,Denmark,wastewater treatment plant,wastewater treatment plant,activated sludge,ERR770584,MGYS00001382
ERS918710,Activated sludge samples taken from Kocejve WWTP on the 24th of september 2012,SAMEA3611561,Activated sludge samples taken from Kocejve WWTP on the 24th of september 2012,45.643,14.8619,Slovenia,Urban,Wastewater Treatment Plant,Activated Sludge,ERR1076076;ERR1076078;ERR1076077;ERR1076074;ERR1076081;ERR1076073;ERR1076082;ERR1076079;ERR1076075;ERR1076080,MGYS00001391
ERS1162588,SWESTP59,SAMEA3991478,Uppsala-primary/surplus 201,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sludge,ERR1414267,MGYS00001110
ERS1162592,SWESTP63,SAMEA3991482,Kappala-primary 226,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414271,MGYS00001110
ERS1162586,SWESTP57,SAMEA3991476,Uppsala-treated 169,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414265,MGYS00001110
