kingdom,phylum,ERZ778038
Archaea,Euryarchaeota,9
Bacteria,Acidobacteria,7
Bacteria,Actinobacteria,7
Bacteria,Armatimonadetes,1
Bacteria,Bacteroidetes,27
Bacteria,Chlamydiae,1
Bacteria,Chloroflexi,8
Bacteria,Elusimicrobia,2
Bacteria,Firmicutes,34
Bacteria,Fusobacteria,1
Bacteria,Ignavibacteriae,2
Bacteria,Kiritimatiellaeota,1
Bacteria,Planctomycetes,1
Bacteria,Proteobacteria,27
Bacteria,Spirochaetes,9
Bacteria,Synergistetes,4
Bacteria,Tenericutes,1
Bacteria,Thermotogae,3
Eukaryota,Cryptomycota,6
