assembly_run_ids,study_id
ERR1414239,MGYS00001110
ERR1414240,MGYS00001110
ERR1414241,MGYS00001110
ERR1414242,MGYS00001110
ERR1414243,MGYS00001110
ERR1414244,MGYS00001110
ERR1414245,MGYS00001110
ERR1414246,MGYS00001110
ERR1414247,MGYS00001110
ERR1414248,MGYS00001110
ERR1414249,MGYS00001110
ERR1414250,MGYS00001110
ERR1414251,MGYS00001110
ERR1414252,MGYS00001110
ERR1414253,MGYS00001110
ERR1414254,MGYS00001110
ERR1414255,MGYS00001110
ERR1414256,MGYS00001110
ERR1414257,MGYS00001110
ERR1414258,MGYS00001110
ERR1414259,MGYS00001110
ERR1414260,MGYS00001110
ERR1414261,MGYS00001110
ERR1414262,MGYS00001110
ERR1414263,MGYS00001110
ERR1414264,MGYS00001110
ERR1414266,MGYS00001110
ERR1414268,MGYS00001110
ERR1414269,MGYS00001110
ERR1414270,MGYS00001110
ERR1414272,MGYS00001110
ERR1414273,MGYS00001110
ERR1414274,MGYS00001110
ERR1414275,MGYS00001110
ERR1414276,MGYS00001110
ERR1414277,MGYS00001110
ERR1414278,MGYS00001110
ERR1356697,MGYS00000823
ERR1356701,MGYS00000823
ERR1356704,MGYS00000823
ERR1356734,MGYS00000823
ERR1356738,MGYS00000823
ERR1356743,MGYS00000823
ERR1356695,MGYS00000823
ERR1356699,MGYS00000823
ERR1356736,MGYS00000823
ERR1356745,MGYS00000823
ERR1356748,MGYS00000823
ERR1356751,MGYS00000823
ERR1356693,MGYS00000823
ERR1356710,MGYS00000823
ERR1356712,MGYS00000823
ERR1356717,MGYS00000823
ERR1356753,MGYS00000823
ERR1356714,MGYS00000823
ERR1356719,MGYS00000823
ERR1356720,MGYS00000823
ERR1356723,MGYS00000823
ERR1356725,MGYS00000823
ERR1356728,MGYS00000823
ERR1356727,MGYS00000823
ERR1356731,MGYS00000823
ERR1356733,MGYS00000823
ERR1356761,MGYS00000823
ERR1356762,MGYS00000823
ERR1356703,MGYS00000823
ERR1356707,MGYS00000823
ERR1356740,MGYS00000823
ERR1356754,MGYS00000823
ERR1356756,MGYS00000823
ERR1356759,MGYS00000823
ERR1356708,MGYS00000823
ERR1356746,MGYS00000823
ERR2729815,MGYS00001910
ERR2729816,MGYS00001910
ERR2729817,MGYS00001910
ERR2729818,MGYS00001910
ERR2729819,MGYS00001910
ERR2729820,MGYS00001910
ERR2729821,MGYS00001910
ERR2729822,MGYS00001910
ERR2729823,MGYS00001910
ERR2729824,MGYS00001910
ERR2729825,MGYS00001910
ERR2729826,MGYS00001910
ERR2729827,MGYS00001910
ERR2729828,MGYS00001910
ERR2729829,MGYS00001910
ERR2729830,MGYS00001910
ERR2729831,MGYS00001910
ERR2729832,MGYS00001910
ERR2729833,MGYS00001910
ERR2729834,MGYS00001910
ERR2729835,MGYS00001910
ERR2729836,MGYS00001910
ERR2729837,MGYS00001910
ERR2729838,MGYS00001910
ERR2729839,MGYS00001910
ERR2729840,MGYS00001910
ERR2729841,MGYS00001910
ERR2729842,MGYS00001910
ERR2729843,MGYS00001910
ERR2729844,MGYS00001910
ERR2729845,MGYS00001910
ERR2729846,MGYS00001910
ERR2729847,MGYS00001910
ERR2729848,MGYS00001910
ERR2729849,MGYS00001910
ERR2729850,MGYS00001910
ERR2729851,MGYS00001910
ERR2729852,MGYS00001910
ERR2729853,MGYS00001910
ERR2729854,MGYS00001910
ERR2729855,MGYS00001910
ERR2729856,MGYS00001910
ERR2729857,MGYS00001910
ERR2729858,MGYS00001910
ERR2729859,MGYS00001910
ERR2729860,MGYS00001910
ERR2729861,MGYS00001910
ERR2729862,MGYS00001910
ERR2729863,MGYS00001910
ERR2729864,MGYS00001910
ERR2729865,MGYS00001910
ERR2729866,MGYS00001910
ERR2729867,MGYS00001910
ERR2729868,MGYS00001910
ERR2729869,MGYS00001910
ERR2729870,MGYS00001910
ERR2729871,MGYS00001910
ERR2729872,MGYS00001910
ERR2729873,MGYS00001910
ERR2729874,MGYS00001910
ERR2729875,MGYS00001910
ERR2729876,MGYS00001910
ERR2729877,MGYS00001910
ERR2729878,MGYS00001910
ERR2729879,MGYS00001910
