OTU,phylum,ERZ1764620,ERZ1764613,ERZ1764614,ERZ1764618,ERZ1764622,ERZ1764624,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220,ERR2729815,ERR2729816,ERR2729817,ERR2729818,ERR2729819,ERR2729820,ERR2729821,ERR2729822,ERR2729823,ERR2729824,ERR2729825,ERR2729826,ERR2729827,ERR2729828,ERR2729829,ERR2729830,ERR2729831,ERR2729832,ERR2729833,ERR2729834,ERR2729835,ERR2729836,ERR2729837,ERR2729838,ERR2729839,ERR2729840,ERR2729841,ERR2729842,ERR2729843,ERR2729844,ERR2729845,ERR2729846,ERR2729847,ERR2729848,ERR2729849,ERR2729850,ERR2729851,ERR2729852,ERR2729853,ERR2729854,ERR2729855,ERR2729856,ERR2729857,ERR2729858,ERR2729859,ERR2729860,ERR2729861,ERR2729862,ERR2729863,ERR2729864,ERR2729865,ERR2729866,ERR2729867,ERR2729868,ERR2729869,ERR2729870,ERR2729871,ERR2729872,ERR2729873,ERR2729874,ERR2729875,ERR2729876,ERR2729877,ERR2729878,ERR2729879,ERR2729880,ERR2729881,ERR2729882,ERR2729883,ERR2729884,ERR2729885,ERR2729886,ERR2729887,ERR2729888,ERR2729889,ERR2729890,ERR2729891,ERR2729892,ERR2729893,ERR2729894,ERR2729895,ERR2729896,ERR2729897,ERR2729898,ERR2729899,ERR2729900,ERR2729901,ERR2729902,ERR2729903,ERR2729904,ERR2729905,ERR2729906,ERR2729907,ERR2729908,ERR2729909,ERR2729910,ERR2729911,ERR2729912,ERR2729913,ERR2729914,ERR2729915,ERR2729916,ERR2729917,ERR2729918,ERR2729919,ERR2729920,ERR2729921,ERR2729922,ERR2729923,ERR2729924,ERR2729925,ERR2729926,ERR2729927,ERR2729928,ERR2729929,ERR2729930,ERR2729931,ERR2729932,ERR2729933,ERR2729934,ERR2729935,ERR2729936,ERR2729937,ERR2729938,ERR2729939,ERR2729940,ERR2729941,ERR2729942,ERR2729943,ERR2729944,ERR2729945,ERR2729946,ERR2729947,ERR2729948,ERR2729949,ERR2729950,ERR2729951,ERR2729952,ERR2729953,ERR2729954,ERR2729955,ERR2729956,ERR2729957,ERR2729958,ERR2729959,ERR2729960,ERR2729961,ERR2729962,ERR2729963,ERR2729964,ERR2729965,ERR2729966,ERR2729967,ERR2729968,ERR2729969,ERR2729970,ERR2729971,ERR2729972,ERR2088984,ERR2088985,ERR2088986,ERR2088987,ERR2088988,ERR2088989,ERR2088990,ERR2088991,ERR2088992,ERR2088993,ERR2088994,ERR2088995,ERZ764804,ERZ778036,ERZ778037,ERZ778038,ERZ795029,ERZ795030,ERZ795049,ERZ795053,ERZ795056,ERZ795058,ERZ795059,ERZ795060,ERZ795066,ERZ795067,ERZ795076,ERZ795381,ERZ795009,ERZ795010,ERZ781404,ERZ781406,ERZ781405,ERZ782916,ERZ782915,ERZ782927,ERZ782929,ERZ782928,ERZ782923,ERZ782930,ERZ782925,ERZ782926,ERZ782924,ERZ794912,ERZ794919,ERZ794932,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794921,ERZ794930,ERZ794931,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584,ERR1076078,ERR1356697,ERR1356701,ERR1356704,ERR1356734,ERR1356738,ERR1356743,ERR1356695,ERR1356699,ERR1356736,ERR1356745,ERR1356748,ERR1356751,ERR1356693,ERR1356710,ERR1356712,ERR1356717,ERR1356753,ERR1356714,ERR1356719,ERR1356720,ERR1356723,ERR1356725,ERR1356728,ERR1356727,ERR1356731,ERR1356733,ERR1356761,ERR1356762,ERR1356703,ERR1356707,ERR1356740,ERR1356754,ERR1356756,ERR1356759,ERR1356708,ERR1356746,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278
OTU11,Fibrobacteres,0,0,0,1,0,0,0,0,0,5,8,8,229,99,209,81,189,58,85,117,87,113,90,113,79,40,120,30,94,26,48,66,45,47,57,51,34,106,51,98,49,88,39,106,51,85,52,105,0,79,1,66,0,61,0,57,1,63,0,69,0,9,0,17,0,12,0,36,0,12,0,34,0,27,2,33,1,33,0,39,2,29,0,32,0,0,0,0,60,38,60,34,52,27,24,101,58,100,34,76,41,15,40,28,30,22,15,54,24,54,14,33,9,57,9,53,11,53,14,59,34,101,15,63,0,27,1,12,1,14,0,29,0,23,0,34,0,4,0,11,0,9,0,17,0,18,0,30,1,15,0,19,0,20,0,12,0,21,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,177,154,1,41,0,1,0,2,37,9,156,33,69,0,9,340,5,0,3,3,0,1,3,4,33,6,18,6,27,43,14,5,9,0,0,22,50,0,0,8,29,16,2,11,14,9,14,7,23,19,24,20,48,29,10,9,7,33,16,8,2,6,3,0,4,6,15,12,25,15,2,4,40,52,31,39,20,37,25,37,0,6,25,30,36,18,14,5,15,6,0,1,0,2,6,4,0,3,12,18,26,20,18,66,14,21,24,19,21
OTU12,Firmicutes,25,1,8,8,6,9,22,22,35,145,160,148,2150,992,2058,806,1825,634,920,340,1102,387,896,421,1143,526,1521,631,1096,490,1624,561,1448,508,1119,476,671,829,1120,833,854,786,599,580,757,488,707,499,72915,3077,69950,3396,74235,3312,15880,947,14951,995,15141,1241,8618,750,10877,972,8676,1131,16255,2013,12649,799,13097,1927,13710,3015,13232,2635,16718,3246,12598,2268,9468,1937,8662,2220,2,70344,31467,90909,1218,1164,1061,902,1283,841,756,742,1206,745,873,525,905,1162,1371,1210,1022,1113,916,1238,1109,1125,1238,829,736,1397,968,1213,904,1391,771,728,932,1623,870,936,31457,1768,22566,1566,28318,1650,7814,711,6667,532,7484,701,4582,957,3887,707,4524,871,4716,2013,4291,2122,4465,2258,5968,2408,4895,2268,5094,2153,4061,1122,2860,1807,3214,1922,0,75303,105023,1007319,2,0,44555,32793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,47,11,34,49,19,15,27,10,21,15,41,63,13,11,30,0,0,0,0,0,0,0,2,1,1,2,3,1,1,0,1,1,0,3,4,0,2,1,4,8,0,0,64,69,249,21723,20038,17981,63,57410,3336,234,537,359,81737,11987,181727,233,35297,457,13423,279879,276,22,1730,1457,92,612,285,6722,75049,1098,40696,7030,47395,37212,633,1909,1265,430,325,405,113289,343,938,10001,18104,600,11437,10705,12717,786,845,726,1085,6086,5865,5527,4916,6065,3604,4678,3742,3235,5662,2006,1750,1740,2230,1053,2178,2012,2552,2627,3918,3427,17804,21973,10793,11443,16605,21764,13877,15713,13037,14320,23694,25414,16067,15077,25949,15417,21820,21097,17597,15822,352,525,800,944,434,464,631,647,751,4295,3087,12755,14897,24769,2722,32371,21680,28344,32507
OTU13,Fusobacteria,1,0,0,0,0,0,0,1,0,7,13,0,1123,529,1064,437,969,371,341,90,321,117,352,112,393,172,514,231,436,123,499,245,415,220,412,218,168,334,252,354,200,314,135,345,140,357,152,325,5514,2015,5329,2246,5913,2267,1352,459,1245,477,1433,553,913,352,1148,490,904,490,1678,878,1319,742,1381,790,1520,1146,727,1063,838,1158,732,1161,578,1022,557,1230,0,0,0,1,374,292,270,225,352,219,158,123,252,114,129,96,154,145,182,145,166,146,151,179,192,170,163,131,99,202,90,155,89,216,96,184,104,441,81,193,2977,707,2252,668,2645,802,786,224,653,197,809,248,493,323,387,269,501,334,571,665,473,702,459,715,372,729,343,561,320,584,338,412,279,716,288,810,0,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,4,234,176,173,0,53,34,11,28,7,34,40,134,7,103,32,18,298,0,0,13,6,0,7,13,15,8,5,17,22,12,22,50,17,10,8,9,2,96,12,44,508,1510,30,597,611,608,15,16,11,23,10,11,16,16,22,4,0,2,5,226,38,38,38,55,10,29,30,1,3,1,1,207,265,495,504,642,886,580,595,543,680,212,289,567,762,828,518,847,794,748,622,11,0,9,9,21,23,7,16,32,4,4,1077,1233,2111,29,2073,1702,2003,2009
OTU14,Gemmatimonadetes,4,0,0,0,2,3,26,29,35,90,83,95,60,120,55,108,47,104,195,190,208,213,148,193,107,187,140,241,120,186,279,228,287,205,223,185,204,117,378,99,299,104,298,197,450,165,367,202,20,102,17,85,15,115,60,163,65,202,52,204,23,72,31,85,30,93,12,79,12,25,10,74,59,29,53,31,77,38,121,75,87,73,95,67,1,0,2,0,8,48,6,47,7,30,40,151,49,133,33,109,19,175,34,132,16,159,51,130,56,129,75,101,60,77,95,60,82,71,120,68,171,159,120,99,3,20,1,23,1,25,2,100,1,106,6,103,8,72,5,57,2,79,2,61,6,44,3,65,24,30,20,24,17,16,39,46,30,68,32,62,1,6,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,2,16,809,829,687,16,121,16,84,23,41,54,124,221,39,8,33,30,313,17,6,14,14,115,17,79,15,52,183,32,18,194,6,39,10,9,101,20,33,183,61,61,96,28,39,98,77,80,228,225,243,255,32,39,37,35,36,77,109,50,35,42,175,150,220,186,101,154,113,26,19,23,22,11,19,9,12,14,17,9,13,13,13,25,24,4,17,31,18,18,20,9,11,17,0,3,11,11,21,57,52,24,77,42,15,22,27,135,48,34,39,53
OTU15,Ignavibacteriae,6,0,1,0,7,1,63,66,94,2,8,3,55,188,58,122,60,123,574,301,740,283,571,274,335,1899,547,2106,416,1631,876,2034,783,1717,791,1623,1915,4911,3092,4669,2480,4414,1493,2950,2369,2643,2232,2892,31,133,33,122,39,124,11,58,18,41,13,67,22,237,27,340,14,380,25,496,15,211,20,462,56,1554,66,1396,63,1669,116,561,77,449,63,505,2,7,5,4,49,153,37,118,34,127,239,239,342,231,238,191,147,1692,244,1761,200,1709,331,1573,362,1432,325,1065,1104,3717,1355,3026,1171,3413,1209,1565,1446,3694,1012,1966,0,54,2,67,5,58,1,37,3,25,4,33,7,337,9,218,4,329,2,449,3,490,1,516,22,1180,17,1088,34,1014,46,220,31,358,26,414,0,3,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,3,1,1,1,2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU16,Kiritimatiellaeota,0,0,0,0,2,1,4,6,5,18,10,19,10,7,3,10,5,11,87,13,71,13,69,18,112,171,153,274,139,221,175,219,134,155,101,157,336,411,580,340,519,318,649,320,947,280,779,307,1,16,0,14,0,30,0,13,0,8,0,23,0,112,0,200,0,181,4,119,2,71,2,125,6,429,5,372,13,387,16,280,7,250,22,300,0,0,0,0,3,9,6,7,5,3,9,6,12,3,7,3,11,53,12,32,9,27,8,22,11,31,4,12,46,44,44,41,41,38,58,50,78,81,74,40,1,34,0,25,2,33,0,8,0,5,0,10,0,44,0,32,1,43,3,38,1,38,0,44,2,104,0,83,3,91,5,53,4,81,2,88,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU17,Nitrospirae,1,1,1,0,1,0,242,291,307,144,179,193,2,0,0,0,1,0,1,2,2,0,2,0,40,12,45,14,24,8,962,66,791,76,536,46,699,314,1193,321,720,279,459,1026,760,705,674,895,8,1,2,0,13,0,0,0,1,0,0,2,21,6,35,3,16,3,579,25,407,22,480,32,1576,88,1003,93,1238,135,1046,283,716,279,683,301,1,1,0,0,1,2,0,0,2,0,8,0,13,1,7,2,75,56,135,44,101,52,1005,292,1317,264,1232,195,1846,975,2230,775,2034,991,2719,2578,3422,5600,2543,3161,2,0,1,0,0,1,0,0,0,1,3,0,10,5,9,3,12,5,235,22,173,20,216,27,530,67,456,61,446,53,361,105,281,164,278,192,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,17,7,38,13805,12412,11547,18,988,147,82,64,105,794,904,4053,317,47,33,468,4514,0,1,121,77,0,60,147,43,569,82,11,166,826,2,8,9,79,66,49,10,3915,42,46,229,11,28,313,254,230,347,291,249,346,25,25,31,31,36,120,161,129,124,111,629,646,870,676,166,376,386,27,50,67,43,0,0,0,0,1,0,0,0,1,3,0,0,2,3,0,0,0,1,0,7,1,38,184,225,25,10,288,297,67,162,116,6,15,7,458,24,21,23,13
OTU18,Planctomycetes,2,0,3,0,10,5,1100,1115,1299,225,241,221,132,100,113,104,122,101,531,184,685,204,543,185,978,418,1323,600,954,406,1578,1009,1264,756,1174,792,1155,1468,1870,1475,1586,1359,1581,1353,2284,1174,2126,1242,99,186,56,207,94,160,322,292,322,247,314,355,243,358,296,502,243,558,1629,1067,1240,388,1324,1014,2016,2127,2216,1801,2497,1986,3658,2333,2629,1988,2620,2212,9,1,0,0,26,95,18,60,36,54,448,297,715,325,479,247,741,1027,1067,1079,868,1006,1020,1686,1271,1575,1318,1226,1507,2443,1885,2005,1758,2419,2508,1666,3272,3820,2571,2071,312,230,257,174,258,219,1082,792,1079,595,1037,770,947,2140,913,1800,978,2266,4051,5169,3417,5706,3648,6203,8444,7993,7478,6990,6781,6975,10110,4713,7571,7662,7341,8198,5,18,12,21,94,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,4,6,3,13,3,4,3,11,11,0,8,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,6,1,4,2,2,0,0,15,12,9,9,26,6686,5976,5484,85,474,45,204,83,264,255,324,808,560,16,269,112,1177,209,427,100,58,631,91,201,99,180,672,67,80,698,38,82,57,64,194,163,322,518,166,375,305,105,108,319,268,277,435,500,474,543,185,210,183,173,206,431,441,305,213,210,423,502,547,526,315,709,542,238,269,319,335,58,59,61,75,64,53,59,72,33,19,72,54,72,126,89,40,72,64,54,41,40,46,327,355,70,95,329,301,136,362,229,72,90,126,600,118,78,95,109
OTU19,Proteobacteria,102,15,27,20,111,82,8815,9407,10972,10009,11517,9048,150569,94942,143932,75640,140217,73109,132559,50528,193573,54657,156224,56280,129088,61485,207657,74519,171055,56368,179281,83276,176881,72003,173982,68909,121484,81095,222123,76293,177679,72398,128840,83817,202557,70918,185272,77717,105367,77821,102806,80043,111954,84653,219587,60608,199717,63076,204031,83132,208512,42302,256963,58388,192716,65361,206927,62296,159285,25859,164686,60835,121254,75821,111773,67290,136474,83252,138078,71875,106233,61156,98384,74821,30,47849,20023,62097,91158,80991,77546,65264,82132,57112,73551,64546,116392,60373,74584,47271,68431,76628,109695,82219,84938,77761,77862,86664,96396,78703,88613,60739,84128,71953,99888,61781,90908,70033,99467,56893,127450,126402,92721,70695,50596,52985,38876,45404,44539,55274,104415,49077,83649,39388,93162,47553,110193,50346,91263,40442,100922,53245,68753,65619,51891,67979,56705,74152,56150,63537,46615,55136,44949,53963,52393,35185,38798,58120,39585,65511,77,43223,60646,562578,352,28,16322,11034,9,9,0,0,0,0,0,0,0,0,0,0,0,0,24,19,32,27,29,23,23,36,41,20,32,16,14,31,41,10,21,21,11,15,17,9,7,5,8,4,7,9,10,8,8,24,24,18,22,34,15,33,27,42,42,26,21,461,435,1462,163051,154582,140790,2787,642434,405872,5155,6096,3066,373011,754097,1001986,2374,144264,3524,191467,2046108,5127,2727,372276,193430,3012,156611,3768,130994,158932,9123,245440,434697,947911,194954,3627,246840,147990,3992,3817,2531,295352,3829,8380,16916,53360,10001,21171,22019,25465,12680,13711,12506,17000,4259,4353,3979,4211,5060,5595,6690,4198,3642,9918,22848,17248,18239,22114,9869,18496,21252,2920,3002,4300,3542,17680,25743,22139,20680,18587,22519,24728,28189,27454,32515,23813,19101,18290,23742,22071,14239,26905,27404,29256,28288,10342,17757,9769,8623,18216,18419,7889,8093,10578,7083,3538,38262,36392,63400,27883,38512,31369,37716,38965
OTU20,Spirochaetes,0,0,0,0,0,2,13,6,8,8,19,16,51,80,61,70,45,58,72,32,112,37,77,39,157,178,212,231,184,142,319,279,285,236,255,207,571,1753,945,1640,751,1468,481,419,705,342,645,394,1,138,3,110,5,120,0,23,0,28,1,44,3,67,0,71,0,79,6,250,5,116,2,222,25,701,11,618,25,785,29,399,17,423,15,451,2,0,0,0,50,181,44,156,72,143,37,100,71,88,41,71,149,723,178,800,151,751,726,1708,915,1473,863,1109,1428,1491,1760,1257,1618,1411,1468,1304,1877,2794,1336,1498,6,307,4,239,3,291,0,75,1,56,1,94,2,455,2,366,1,471,10,1465,9,1641,10,1743,39,1275,32,1144,39,1195,37,928,27,1480,32,1681,1,1,3,6,26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,9,0,9,13,9,13,12,16,6,10,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,7,2895,2940,2666,12,576,204,205,193,70,17,424,1928,35,2,213,112,2362,22,11,158,22,10,36,19,29,47,446,42,72,99,11,74,120,131,230,77,508,537,114,282,79,95,30,100,110,128,65,102,83,126,1141,1152,1081,1310,1117,1071,1356,1937,1658,936,216,150,187,236,89,210,267,685,665,1154,1012,42,68,115,134,94,120,122,135,119,90,50,56,113,160,122,109,131,85,115,50,15,10,26,55,15,10,49,34,25,1497,1589,62,82,112,371,128,136,152,138
OTU21,Synergistetes,1,0,0,0,0,0,1,1,0,3,0,1,242,91,265,94,213,88,129,83,177,92,150,95,140,59,252,87,205,55,127,109,146,95,119,43,52,91,113,85,69,59,24,89,75,91,67,64,79,138,63,164,81,136,27,108,8,132,17,160,16,37,17,71,23,69,58,122,23,22,20,79,13,123,21,101,27,154,15,94,16,105,17,106,0,0,0,0,32,63,20,42,35,39,19,19,18,37,12,25,12,19,23,31,23,38,11,39,22,35,24,31,12,39,13,41,17,51,17,37,20,94,12,57,105,176,88,138,103,181,49,69,41,37,35,55,33,61,29,39,19,43,97,111,58,131,72,165,58,190,65,160,53,150,95,113,51,172,56,211,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,2,1,5,2,0,2,2,2,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,60,56,58,1,2,1,3,1,0,3,7,386,0,0,0,0,389,4,0,0,1,1,0,4,0,0,3,2,1,3,0,2,0,0,1,1,263,7,0,1,54,40,28,42,40,57,2,8,3,5,461,397,416,280,478,1537,2186,1370,1258,906,0,3,6,7,2,5,4,342,296,412,413,90,88,60,53,82,103,130,111,59,68,108,76,76,74,113,56,203,243,84,115,39,0,3,15,2,4,3,2,24,1413,1268,20,49,56,1,105,52,93,87
OTU22,Tenericutes,0,0,1,0,0,0,0,0,0,0,8,0,5,0,3,0,3,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,56,22,61,23,97,16,19,8,16,10,22,12,12,6,18,16,14,16,42,12,45,5,40,14,18,11,25,13,28,33,34,15,17,8,13,8,0,0,0,1,1,0,1,0,1,0,0,0,0,3,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,3,0,1,0,1,0,0,39,4,10,6,17,4,5,3,10,0,6,1,10,6,6,2,5,7,2,9,9,13,5,11,7,6,7,14,7,8,4,4,12,10,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,5,5,6,2,3,2,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,10,0,17,7,3,6,8,10,21,32,2,2,5,1,63,76,0,5,4,10,5,2,3,4,17,11,9,18,3,5,9,6,8,8,0,18,3,6,111,83,9,131,126,109,7,30,21,21,124,178,140,467,135,153,141,605,482,278,22,22,24,34,12,37,38,43,19,94,82,97,167,95,60,96,205,106,105,53,73,168,165,166,135,118,65,140,130,96,83,0,17,4,7,6,3,10,12,7,187,484,70,100,144,38,182,128,158,155
OTU23,Verrucomicrobia,5,0,2,0,8,3,120,139,181,352,428,374,367,326,339,311,336,276,953,620,1189,597,949,648,1270,873,1758,992,1355,709,1741,858,1587,804,1469,761,1326,1208,2286,1042,1926,998,1744,1586,2354,1279,2031,1454,122,305,106,370,126,421,37,469,47,517,52,597,74,429,71,565,62,664,346,572,305,341,397,617,352,865,283,728,386,889,480,1049,362,872,352,1055,6,0,1,0,964,599,817,501,898,456,2473,4050,3716,3875,2546,3120,4327,6756,6929,7452,5239,6855,3232,3848,4075,3600,3794,2753,3725,5201,4569,4380,4279,5138,4093,5900,5342,12751,4095,7258,956,841,777,723,804,821,1014,4293,957,3564,903,4288,1370,8171,1157,6492,1260,8175,7805,6907,6079,7719,6669,8212,8406,11446,7233,10253,6492,10089,9183,9914,6900,16593,6923,18009,0,7,5,17,50,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,8,8,4,6,9,10,0,7,3,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,4,2,2,2,8,10,26,4736,4276,4020,30,237,50,164,127,78,231,246,1211,178,67,112,101,1592,49,338,66,23,65,36,94,102,207,464,139,63,264,47,132,68,37,113,84,430,580,140,264,166,66,131,207,179,228,310,337,344,377,538,455,509,468,600,596,744,500,480,465,574,522,539,626,227,475,435,194,218,349,274,36,60,201,148,113,159,69,67,71,73,39,35,174,164,84,73,107,49,103,48,107,307,528,532,215,236,226,270,124,619,439,39,59,79,490,92,72,84,85
OTU24,Ascomycota,0,0,0,0,0,1,1,0,0,10,12,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU25,Arthropoda,0,0,0,0,0,1,3,3,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,0,6,1,8,0,11,0,12,3,10,1,2,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
