sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids
ERS1162570,Uppsala-influent-AD 153,SAMEA3991460,Uppsala-influent-AD 153,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414249
ERS1162571,Uppsala-influent-AD 154,SAMEA3991461,Uppsala-influent-AD 154,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414250
ERS1162572,Uppsala-influent-C 155,SAMEA3991462,Uppsala-influent-C 155,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414251
ERS1162573,Uppsala-influent-C 156,SAMEA3991463,Uppsala-influent-C 156,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414252
ERS1162574,Kappala-influent 157,SAMEA3991464,Kappala-influent 157,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414253
ERS1162575,Kappala-influent 158,SAMEA3991465,Kappala-influent 158,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414254
ERS1162576,Henriksdal-influent-S 159,SAMEA3991466,Henriksdal-influent-S 159,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414255
ERS1162577,Henriksdal-influent-S 160,SAMEA3991467,Henriksdal-influent-S 160,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,sewage,ERR1414256
ERS1162578,Henriksdal-treated 161,SAMEA3991468,Henriksdal-treated 161,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414257
ERS1162579,Henriksdal-treated 162,SAMEA3991469,Henriksdal-treated 162,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414258
ERS1162580,Henriksdal-sandfiltered 163,SAMEA3991470,Henriksdal-sandfiltered 163,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414259
ERS1162581,Henriksdal-sandfiltered 164,SAMEA3991471,Henriksdal-sandfiltered 164,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414260
ERS1162582,Kappala-treated 165,SAMEA3991472,Kappala-treated 165,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414261
ERS1162583,Kappala-treated 166,SAMEA3991473,Kappala-treated 166,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414262
ERS1162584,Kappala-sandfiltered 167,SAMEA3991474,Kappala-sandfiltered 167,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414263
ERS1162585,Kappala-sandfiltered 168,SAMEA3991475,Kappala-sandfiltered 168,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414264
ERS1162587,Uppsala-treated 170,SAMEA3991477,Uppsala-treated 170,59.8445,17.6598,Sweden,anthropogenic terrestrial biome,sewage plant,surface water,ERR1414266
ERS1162589,Kappala-digested 216,SAMEA3991479,Kappala-digested 216,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,biosolids,ERR1414268
ERS1162590,Kappala-kemikond 220,SAMEA3991480,Kappala-kemikond 220,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,biosolids,ERR1414269
ERS1162591,Kappala-primary 225,SAMEA3991481,Kappala-primary 225,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414270
ERS1162593,Kappala-primary 227,SAMEA3991483,Kappala-primary 227,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414272
ERS1162594,Kappala-primary 228,SAMEA3991484,Kappala-primary 228,59.3556,18.2271,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414273
ERS1162595,Henriksdal-surplus 232,SAMEA3991485,Henriksdal-surplus 232,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,activated sludge,ERR1414274
ERS1162596,Henriksdal-primary 233,SAMEA3991486,Henriksdal-primary 233,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414275
ERS1162597,Henriksdal-primary 234,SAMEA3991487,Henriksdal-primary 234,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414276
ERS1162598,Henriksdal-primary 235,SAMEA3991488,Henriksdal-primary 235,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414277
ERS1162599,Henriksdal-primary 236,SAMEA3991489,Henriksdal-primary 236,59.3107,18.1084,Sweden,anthropogenic terrestrial biome,sewage plant,raw primary sludge,ERR1414278
