kingdom,phylum,ERZ778037
Archaea,Crenarchaeota,1
Archaea,Euryarchaeota,6
Bacteria,Acidobacteria,7
Bacteria,Actinobacteria,13
Bacteria,Armatimonadetes,1
Bacteria,Bacteroidetes,22
Bacteria,Caldiserica,7
Bacteria,Calditrichaeota,1
Bacteria,Chloroflexi,22
Bacteria,Firmicutes,11
Bacteria,Kiritimatiellaeota,1
Bacteria,Planctomycetes,7
Bacteria,Proteobacteria,32
Bacteria,Spirochaetes,9
Bacteria,Synergistetes,7
Bacteria,Tenericutes,1
Bacteria,Thermotogae,5
Bacteria,Verrucomicrobia,7
Eukaryota,Cryptomycota,1
