kingdom,phylum,ERR2683114,ERR2683115,ERR2683118,ERR2683121,ERR2683124,ERR2683128,ERR2683129,ERR2683133,ERR2683136,ERR2683137,ERR2683138,ERR2683140,ERR2683141,ERR2683143,ERR2683144,ERR2683145,ERR2683146,ERR2683147,ERR2683160,ERR2683170,ERR2683172,ERR2683173,ERR2683174,ERR2683177,ERR2683179,ERR2683186,ERR2683188,ERR2683189,ERR2683191,ERR2683192,ERR2683193,ERR2683194,ERR2683195,ERR2683196,ERR2683199,ERR2683200,ERR2683203,ERR2683204,ERR2683205,ERR2683208,ERR2683211,ERR2683213,ERR2683214,ERR2683215,ERR2683218,ERR2683219,ERR2683220,ERR2683221,ERR2683222,ERR2683223,ERR2683225,ERR2683227,ERR2683228,ERR2683231,ERR2683232,ERR2683233,ERR2683238,ERR2683241,ERR2683244,ERR2683245,ERR2683246,ERR2683249,ERR2683251,ERR2683252,ERR2683254,ERR2683255,ERR2683257,ERR2683259,ERR2683261,ERR2683264,ERR2683265,ERR2683268,ERR2683273,ERR2683276,ERR2683277,ERR2683525,ERR2683527,ERR2683528,ERR2683529,ERR2683534,ERR2683535,ERR2683116,ERR2683117,ERR2683119,ERR2683120,ERR2683122,ERR2683123,ERR2683125,ERR2683126,ERR2683127,ERR2683130,ERR2683131,ERR2683132,ERR2683134,ERR2683135,ERR2683139,ERR2683142,ERR2683148,ERR2683149,ERR2683150,ERR2683151,ERR2683152,ERR2683153,ERR2683154,ERR2683155,ERR2683156,ERR2683157,ERR2683158,ERR2683159,ERR2683161,ERR2683162,ERR2683163,ERR2683164,ERR2683165,ERR2683166,ERR2683167,ERR2683168,ERR2683169,ERR2683171,ERR2683175,ERR2683176,ERR2683178,ERR2683180,ERR2683181,ERR2683182,ERR2683183,ERR2683184,ERR2683185,ERR2683187,ERR2683190,ERR2683197,ERR2683198,ERR2683201,ERR2683202,ERR2683206,ERR2683207,ERR2683209,ERR2683210,ERR2683212,ERR2683216,ERR2683217,ERR2683224,ERR2683226,ERR2683229,ERR2683230,ERR2683234,ERR2683235,ERR2683236,ERR2683237,ERR2683239,ERR2683240,ERR2683242,ERR2683243,ERR2683247,ERR2683248,ERR2683250,ERR2683253,ERR2683256,ERR2683258,ERR2683260,ERR2683262,ERR2683263,ERR2683266,ERR2683267,ERR2683269,ERR2683270,ERR2683271,ERR2683272,ERR2683274,ERR2683275,ERR2683278,ERR2683279,ERR2683280,ERR2683526,ERR2683530,ERR2683531,ERR2683532,ERR2683533,ERR2683536,ERR2683537,ERR2683538
Bacteria,Proteobacteria,30105,17586,25010,3043,6679,23418,9659,10340,11462,21141,24236,23231,58913,49329,30712,29961,39995,21621,20674,112293,21932,14488,11978,17947,80748,12852,40453,26356,34133,15853,69288,65198,53956,43323,13298,86374,43981,92456,88170,63306,4417,15330,44363,78968,24661,24803,21131,23989,33812,31364,30704,15478,20175,22675,23269,35018,26815,159708,33070,29409,18280,28572,27854,17385,46338,68401,58043,43288,43200,37444,25747,26356,124980,36705,19547,213,335,359,171,712,667,18697,19908,26898,18960,16947,48129,54137,35119,21961,20514,14890,11543,33112,34893,24380,34435,15154,30366,23944,55960,19395,32038,27317,24582,17088,50548,32401,60198,43179,38898,14893,26671,14049,25582,49684,30219,35751,15868,24224,23242,98442,10535,20684,9633,11839,28949,8311,33743,30703,16230,44022,79398,50440,50467,51540,24021,32792,13372,35459,22962,52495,14344,19973,33779,30630,41337,33802,24811,25848,13110,93015,38316,22143,22354,48167,20075,29162,165446,33803,14276,20439,26641,87557,73317,3452,17627,38793,38009,35970,123114,68932,5050,234,160,87,241,799,1121,21,14
Bacteria,Rhodothermaeota,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Spirochaetes,52,25,172,226,558,250,147,85,50,44,33,356,90,13,25,159,140,89,78,23,57,89,157,56,65,200,65,48,76,174,163,20,79,39,165,180,25,8,8,3,517,11,46,12,16,105,55,195,38,49,42,423,33,38,86,40,176,18,36,134,848,40,110,154,22,53,228,20,84,264,310,87,57,11,210,3,0,0,5,9,3,635,193,46,185,2214,357,15,16,17,16,39,51,97,64,37,48,1655,31,38,18,13,21,65,125,28,23,34,3,907,26,783,197,127,46,275,179,38,998,78,36,25,159,86,455,228,782,150,28,20,79,45,7,2,6,4,55,35,1381,16,29,49,9,80,23,56,29,381,303,110,31,89,141,14,152,44,313,134,27,64,216,39,159,144,11,252,43,100,19,19,16,10,36,2,1,1,2,3,6,0,0
Bacteria,Synergistetes,729,37,280,283,1889,104,46,344,200,377,1051,2475,72,521,200,486,123,203,549,68,147,251,666,95,67,172,447,284,459,170,100,55,488,389,173,111,341,377,205,665,2872,289,3280,152,77,814,198,105,127,291,218,2969,353,408,158,278,407,283,265,413,421,327,642,562,141,1957,301,589,1104,828,146,1444,187,26,1535,0,2,0,15,11,22,20,68,39,530,3049,525,92,79,77,13,183,20,395,156,179,434,1521,523,440,74,178,339,955,327,179,149,633,77,434,70,1299,3467,2502,385,1536,646,30,1348,276,258,288,22,452,690,494,533,281,152,192,180,1059,331,380,223,154,265,208,926,623,603,225,58,127,146,184,230,445,317,337,81,860,326,181,122,112,210,627,571,838,1437,331,1364,131,143,4090,45,550,175,335,206,28,4,5,2,12,5,79,4,0,0
Bacteria,Tenericutes,160,22,603,551,1051,1733,2081,275,190,443,866,323,109,428,218,100,67,175,353,15,378,882,368,181,151,333,58,108,166,275,65,37,108,87,239,166,446,12,6,12,460,374,165,42,216,355,1193,142,130,94,94,805,276,156,173,163,1077,44,185,120,2528,104,608,506,78,185,108,199,334,52,361,191,118,38,694,4,1,2,2,8,12,434,352,95,261,1773,391,104,36,33,35,388,29,151,140,490,141,78,178,350,349,259,217,195,228,634,121,340,70,106,96,370,173,109,132,98,79,107,111,179,253,47,23,414,386,117,767,205,145,758,255,210,6,16,7,13,235,291,217,388,138,117,221,491,134,193,171,476,1036,358,220,83,81,869,60,124,198,705,46,185,912,215,176,82,35,178,68,232,165,175,71,37,15,0,1,2,10,7,15,0,0
Bacteria,Thermodesulfobacteria,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Thermotogae,0,0,0,3,10,13,4,0,9,5,5,7,0,7,2,1,15,8,1,0,2,0,6,0,2,0,5,1,2,13,3,0,0,5,1,0,0,0,0,0,241,1,0,1,0,454,10,0,0,0,6,5,0,0,0,0,0,7,3,0,36,0,1,1,0,0,0,0,1,0,1,4,0,0,6,0,0,0,0,2,0,0,0,3,82,8,3,0,0,0,0,0,9,2,2,0,0,2431,3,6,0,0,0,25,13,1,3,15,1,0,0,4,19,16,1,59,0,0,18,3,4,2,0,5,9,267,10,1,2,5,3,0,0,2,0,0,0,0,4,2,0,13,2,1,0,10,1,2,0,0,1,4,10,7,0,0,2,10,0,1,29,0,3,2,0,134,0,0,0,0,1,0,3,0,0,3,0,4,0,0,0
Bacteria,Verrucomicrobia,509,528,614,460,855,357,283,549,449,425,910,801,456,380,361,358,1612,405,935,30,289,572,483,301,81,281,239,342,435,633,281,44,766,475,496,303,315,26,22,50,1239,534,845,58,383,685,1737,426,330,315,209,2492,465,318,269,391,1673,290,339,711,446,329,661,662,168,608,1392,854,466,305,389,498,356,34,1264,10,1,6,5,46,41,283,387,201,301,1187,174,218,189,483,4973,377,2294,377,160,447,515,1118,489,573,479,435,870,740,650,450,444,825,362,158,203,612,1037,866,396,358,321,529,992,209,758,203,542,203,566,447,459,252,407,886,291,587,41,20,33,36,484,281,548,718,447,271,239,214,267,410,336,594,1835,516,245,802,286,1184,788,183,364,995,89,286,522,617,661,113,55,1569,387,738,429,455,210,40,195,5,2,7,4,35,39,1,1
Eukaryota,Annelida,3,2,1,0,0,20,1,2,1,5,1,0,0,0,1,3,1,4,3,0,1,224,5,1,0,24,0,6,17,1,5,0,2,2,5,0,1,0,0,0,0,0,0,0,0,1,1,9,35,3,4,0,2,0,0,0,3,0,4,5,0,0,1,1,1,0,0,0,0,0,37,0,8,0,0,0,0,0,0,1,3,4,4,2,1,0,0,0,0,2,3,1,102,8,3,3,6,1,2,1,0,5,2,2,0,7,2,0,1,0,0,2,1,1,2,17,3,28,5,1,2,0,54,0,15,2,40,7,0,1,4,0,0,0,0,2,5,1,8,0,0,0,0,5,1,1,0,1,23,9,7,0,0,13,2,1,9,2,0,0,1,1,0,1,2,1,15,1,1,1,1,0,9,0,0,0,0,2,3,0,0
Eukaryota,Apicomplexa,8,4,5,6,2,9,2,6,0,1,1,0,1,4,1,0,4,0,1,0,0,5,1,0,0,10,4,4,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,9,1,0,0,2,12,1,0,0,0,0,0,3,2,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4,1,1,2,45,1,1,1,1,0,6,0,0,1,0,3,0,0,0,2,1,2,0,2,0,3,0,0,0,0,3,3,6,4,3,0,0,0,6,1,3,1,0,0,0,2,0,0,0,0,0,4,3,1,0,1,0,3,0,1,2,4,11,7,0,1,1,1,0,3,1,0,0,0,2,1,0,0,0,1,5,2,0,3,0,0,15,0,0,0,0,0,1,0,0
