OTU,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584,ERR1076078,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220
OTU176,0,0,0,2,1,2,0,4,13,0,5,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,4,1,4,1,3,0,0,1,0,0,0,0,4,13,1,2,2,3,4,6,3,2,6,18,6,1,15,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,17,2,25,16,23,23,0,0,0,0,0,0
OTU177,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU180,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU181,0,0,0,1,3,0,0,6,6,0,5,7,7,0,0,1,0,0,0,0,1,2,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,4,2,2,6,6,10,6,15,5,13,4,4,8,15,19,15,19,14,0,6,0,0,0,0,0,0,2,3,0,0,1,3,6,13,0,11,4,5,9,0,0,0,0,0,0
OTU182,0,0,0,4,2,5,0,6,4,2,8,5,7,0,0,0,1,0,0,0,0,1,2,1,0,1,11,0,1,0,1,1,0,1,0,0,0,0,4,0,0,5,10,7,2,14,7,0,4,8,2,1,2,3,21,9,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,7,1,5,7,30,5,0,0,0,0,0,0
OTU183,0,0,0,1,4,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,3,1,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU186,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
OTU187,0,0,0,6,4,1,0,2,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,0,3,7,1,1,0,10,0,4,0,0,1,5,5,1,4,0,4,2,3,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,3,0,0,0,0,0,0,0,0
OTU188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU190,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU192,0,0,0,1,2,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,7,6,0,0,0,1,1,2,1,0,16,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,2,0,0,0,0,0,0
OTU193,0,0,0,2,2,1,0,1,3,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,1,1,0,0,0,0,3,15,3,0,2,3,0,1,0,0,4,6,2,0,11,0,0,14,1,1,0,0,0,0,0,0,0,0,3,0,1,2,0,2,1,2,3,5,3,0,0,0,0,0,0
OTU194,0,0,0,3,3,3,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,3,3,0,0,7,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,1,1,1,0,0,0,0,0,0
OTU195,0,0,0,8,9,9,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,1,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,3,3,0,0,0,0,0,0,0
OTU196,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,1,1,0,12,11,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,0,0,0,0,0,0
OTU197,0,0,0,9,7,7,0,6,45,0,7,8,9,1,2,3,1,2,1,1,5,2,1,2,0,0,8,2,1,1,3,9,12,16,0,0,0,0,5,24,16,20,7,11,6,25,14,19,15,10,13,7,9,13,7,23,23,33,49,95,34,12,0,0,1,4,4,1,1,16,38,39,19,33,35,30,38,0,0,0,0,0,0
OTU198,0,0,0,10,9,8,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,1,1,0,0,0,0,0,0
OTU199,0,0,0,7,3,2,0,0,1,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,0,0,0,6,2,1,3,4,0,0,1,0,0,0,11,5,1,0,4,0,1,0,7,0,0,3,0,0,0,0,0,0,2,0,2,0,5,0,8,0,3,1,0,0,0,0,0,0
OTU200,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU201,0,0,0,1,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,1,3,0,0,0,0,0,0
OTU202,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
OTU203,0,0,0,12,14,13,0,2,1,1,3,4,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,3,3,4,3,1,1,5,0,0,0,2,1,1,2,0,4,1,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,4,0,0,4,0,0,0,0,1,2,3,4,3,2,3,2,0,0,0,0,0,0
OTU204,0,0,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,3,0,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
OTU205,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
OTU206,0,0,0,1,2,3,0,0,1,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,7,4,5,0,0,0,0,0,0
OTU207,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OTU208,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU209,0,0,0,0,0,1,0,1,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,4,1,2,7,5,3,0,5,1,18,6,7,3,0,0,0,0,4,0,0,0,0,0,0,4,10,14,0,7,6,3,4,0,0,0,0,0,0
OTU210,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,1,1,4,1,0,2,3,2,2,9,8,6,3,0,0,0,0,0,0,2,0,0,0,0,3,1,4,0,2,4,2,5,0,0,0,0,0,0
OTU211,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,1,1,1,2,0,0,0,0,0,0
OTU212,0,0,0,3,1,3,0,10,20,0,1,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,1,2,0,0,0,0,2,4,8,3,18,11,1,4,7,6,7,13,2,3,20,9,15,16,7,11,0,0,0,0,0,0,0,0,0,0,0,8,12,25,0,27,24,29,28,0,0,0,0,0,0
OTU213,0,0,0,5,11,6,0,1,6,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,25,15,3,1,7,1,2,2,3,3,16,16,2,1,4,2,1,5,3,1,0,0,4,0,0,0,0,0,1,0,0,9,5,12,4,7,7,13,10,0,0,0,0,0,0
OTU214,0,0,0,42,38,22,0,20,96,1,32,23,33,2,0,2,3,0,0,1,1,1,0,0,0,0,14,1,2,4,4,1,2,3,0,1,0,0,273,315,49,26,72,124,47,85,122,196,277,297,65,50,126,83,122,125,192,167,0,0,2,0,0,0,0,2,0,0,0,75,77,141,11,309,183,212,318,0,0,0,0,0,0
OTU215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU216,0,0,0,0,0,1,0,4,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,2,1,12,1,0,2,0,1,0,4,0,7,1,4,2,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,2,9,12,13,0,0,0,0,0,0
OTU217,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,2,5,2,0,0,0,0,0,0
OTU218,0,0,0,2,4,5,0,1,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,5,0,5,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,8,0,0,0,10,6,5,1,5,6,5,10,0,0,0,0,0,0
OTU219,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
OTU220,0,0,0,0,6,2,0,4,6,6,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,4,1,5,4,1,0,2,0,0,2,0,4,5,6,0,0,0,0,2,0,0,1,0,1,0,4,2,9,1,14,20,8,13,0,0,0,0,0,0
