OTU,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
OTU61,0,0,0,0,0,0
OTU62,0,0,0,0,0,0
OTU63,0,0,0,0,0,0
OTU64,0,0,0,0,0,0
OTU65,0,0,0,0,0,0
OTU66,0,0,0,0,0,0
OTU67,0,1,0,0,0,0
OTU68,0,0,0,0,0,0
OTU69,0,0,0,0,0,0
OTU70,0,0,0,0,1,0
OTU71,0,2,0,1,0,0
OTU72,0,0,0,0,0,0
OTU73,0,0,0,1,0,0
OTU74,0,0,0,1,0,0
OTU75,0,0,0,1,0,0
OTU76,0,0,0,0,0,0
OTU77,0,0,0,0,0,0
OTU78,0,0,0,0,0,0
OTU79,0,0,0,0,0,0
OTU80,0,0,0,0,0,0
OTU81,0,0,0,0,0,0
OTU82,0,2,0,1,0,0
OTU83,0,1,0,0,0,0
OTU84,0,0,0,1,0,0
OTU85,0,0,0,0,0,0
OTU86,0,0,0,0,0,0
OTU87,0,0,0,0,0,0
OTU88,0,1,0,0,0,0
OTU89,0,2,0,1,0,0
OTU90,1,0,1,1,0,0
OTU91,0,0,0,0,0,0
OTU92,0,0,0,0,0,0
OTU93,0,0,0,0,0,0
OTU94,0,0,0,0,0,0
OTU95,0,0,0,0,0,0
OTU96,0,0,0,0,0,0
OTU97,0,0,0,0,0,0
OTU98,0,0,0,0,0,0
OTU99,0,0,0,0,0,0
OTU100,0,0,0,0,0,0
OTU101,0,0,0,0,0,0
OTU102,0,0,0,0,0,0
OTU103,0,2,0,0,0,0
OTU104,0,0,0,0,0,0
OTU105,0,0,0,0,0,0
OTU106,0,0,0,0,0,0
OTU107,0,0,0,1,0,0
OTU108,0,0,0,0,0,0
OTU109,0,0,0,0,0,0
OTU110,0,1,0,0,1,0
OTU111,0,0,0,0,0,0
OTU112,1,0,0,1,0,0
OTU113,0,0,0,0,0,0
OTU114,0,0,0,0,0,0
OTU115,1,1,0,1,0,1
OTU116,0,0,0,0,0,0
OTU117,0,0,0,0,0,0
OTU118,0,0,0,0,0,0
OTU119,0,0,1,1,0,0
OTU120,0,1,0,0,0,0
OTU121,0,0,0,0,0,0
OTU122,0,0,0,0,0,0
OTU123,0,0,0,1,0,0
OTU124,0,0,0,0,0,0
OTU125,1,0,0,0,1,0
OTU126,0,0,0,0,0,1
OTU127,1,0,0,2,0,0
OTU128,0,0,0,1,0,0
OTU129,0,0,0,1,0,0
OTU130,0,0,0,0,0,0
OTU131,0,0,0,0,0,0
OTU132,0,0,0,0,0,0
OTU133,0,0,0,0,0,0
OTU134,0,0,0,0,0,0
OTU135,0,0,0,0,0,0
OTU136,0,0,0,0,0,1
OTU137,0,0,0,0,0,1
OTU138,0,0,1,0,0,0
OTU139,0,0,0,0,0,0
OTU140,0,0,0,0,0,1
OTU141,0,1,0,0,0,0
OTU142,0,0,0,0,1,0
OTU143,0,1,0,1,1,0
OTU144,0,0,0,1,0,0
OTU145,0,1,0,0,0,0
OTU146,0,0,0,0,0,0
OTU147,0,0,2,3,4,0
OTU148,0,0,0,0,0,0
