kingdom,phylum,ERR276848
Archaea,Crenarchaeota,377
Archaea,Euryarchaeota,17268
Archaea,Parvarchaeota,38
Bacteria,Acidobacteria,236
Bacteria,Actinobacteria,7259
Bacteria,Armatimonadetes,6
Bacteria,Bacteroidetes,15059
Bacteria,Caldiserica,34
Bacteria,Caldithrix,21
Bacteria,Chlorobi,73
Bacteria,Chloroflexi,5326
Bacteria,Cyanobacteria,79
Bacteria,Deferribacteres,46
Bacteria,Elusimicrobia,173
Bacteria,Fibrobacteres,29
Bacteria,Firmicutes,78262
Bacteria,Fusobacteria,1
Bacteria,Gemmatimonadetes,34
Bacteria,Lentisphaerae,1072
Bacteria,Nitrospirae,55
Bacteria,Planctomycetes,258
Bacteria,Proteobacteria,5076
Bacteria,Spirochaetes,4274
Bacteria,Synergistetes,19855
Bacteria,Tenericutes,825
Bacteria,Thermi,58
Bacteria,Thermotogae,1451
Bacteria,Verrucomicrobia,989
