OTU,phylum,ERZ3455818,ERZ3455794,ERZ3455798,ERZ3455802,ERZ3455814,ERZ3455822,ERZ3455826,ERZ3455854,ERZ3455795,ERZ3455805,ERZ3455806,ERZ3455810,ERZ3455811,ERZ3455821,ERZ3455827,ERZ3455830,ERZ3455834,ERZ3455837,ERZ3455842,ERZ3455796,ERZ3455800,ERZ3455816,ERZ3455817,ERZ3455824,ERZ3455832,ERZ3455839,ERZ3455849,ERZ3455855,ERZ3455863,ERZ3455867,ERZ3455803,ERZ3455809,ERZ3455831,ERZ3455859,ERZ3455884,ERZ3455797,ERZ3455815,ERZ3455825,ERZ3455862,ERZ3455876,ERZ3455888,ERZ3455812,ERZ3455843,ERZ3455851,ERZ3455868,ERZ3455872,ERZ3455880,ERZ3455807,ERZ3455823,ERZ3455836,ERZ3455892,ERZ3455799,ERZ3455835,ERZ3455845,ERZ3455850,ERZ3455857,ERZ3455865,ERZ3455871,ERZ3455877,ERZ3455882,ERZ3455887,ERZ3455858,ERZ3455791,ERZ3455801,ERZ3455813,ERZ3455852,ERZ3455870,ERZ3455838,ERZ3455844,ERZ3455860,ERZ3455873,ERZ3455881,ERZ3455891,ERZ3455896,ERZ3455847,ERZ3455885,ERZ3455792,ERZ3455841,ERZ3455874,ERZ3455875,ERZ3455889,ERZ3455900,ERZ3455820,ERZ3455828,ERZ3455861,ERZ3455864,ERZ3455886,ERZ3455894,ERZ3455895,ERZ3455846,ERZ3455856,ERZ3455899,ERZ3455879,ERZ3455793,ERZ3455819,ERZ3455848,ERZ3455853,ERZ3455878,ERZ3455804,ERZ3455829,ERZ3455833,ERZ3455840,ERZ3455869,ERZ3455883,ERZ3455893,ERZ3455808,ERZ3455890,ERZ3455897,ERZ3455866,ERZ3455898,ERR1713331,ERR1713332,ERR1725942,ERR1725946,ERR1725948,ERR1725949,ERR1725950,ERR1725952,ERR1713339,ERR1713340,ERR1725960,ERR1713342,ERR1725963,ERR1713344,ERR1725965,ERR1713346,ERR1725966,ERR1725968,ERR1713349,ERR1713350,ERR1713351,ERR1713352,ERR1713353,ERR1725971,ERR1713355,ERR1713356,ERR1713357,ERR1713358,ERR1713359,ERR1725977,ERR1713361,ERR1713362,ERR1725979,ERR1713364,ERR1713365,ERR1725984,ERR1713367,ERR1713368,ERR1725985,ERR1713370,ERR1713371,ERR1713372,ERR1713373,ERR1725988,ERR1725991,ERR1713376,ERR1725995,ERR1713378,ERR1725998,ERR1713380,ERR1713381,ERR1713382,ERR1713383,ERR1713384,ERR1713385,ERR1713386,ERR1726001,ERR1713388,ERR1713389,ERR1726004,ERR1713391,ERR1726006,ERR1726007,ERR1713394,ERR1713395,ERR1713396,ERR1713397,ERR1713398,ERR1726013,ERR1713400,ERR1726017,ERR1713402,ERR1713403,ERR1726026,ERR1713405,ERR1713406,ERR1713407,ERR1713408,ERR1713409,ERR1713410,ERR1726032,ERR2808645,ERR2808646,ERR2808647,ERR2808648,ERR2808649,ERR2808650,ERR2808651,ERR2808652,ERR2808653,ERR2808654,ERR2808655,ERR2808656,ERR2808657,ERR2808658,ERR2808659,ERR2808660,ERR2808661,ERR2808662,ERR2808663,ERR2808664,ERR2808665,ERR2808666,ERR2808667,ERR2808668,ERR1341804,ERR1341803,ERR1467143,ERR1467146,ERR1467154,ERR1470829,ERR1512985,ERR1512995,ERR1513004,ERR1513005,ERR1513006,ERR1525434,ERR1525436,ERR1525439,ERR1525446,ERR1467152,ERR1470825,ERR1470827,ERR1470830,ERR1512988,ERR1512993,ERR1514429,ERR1525437,ERR1525438,ERR1525440,ERR1525444,ERR1512987,ERR1512998,ERR1467142,ERR1467148,ERR1467149,ERR1512984,ERR1514428,ERR1525443,ERR1467150,ERR1470824,ERR1514430,ERR1525445,ERR1512997,ERR1514427,ERR1467144,ERR1467145,ERR1467151,ERR1470822,ERR1470828,ERR1513003,ERR1512986,ERR1512994,ERR1513007,ERR1525441,ERR1525442,ERR1467147,ERR1467153,ERR1470826,ERR1470823,ERR1467141,ERR1512996,ERR1513002,ERR1512989,ERR1512990,ERR1512991,ERR1512992,ERR1512999,ERR1513000,ERR1513001,ERR1525435
OTU1,Euryarchaeota,0,0,3,1,4,0,0,1,0,0,2,1,1,2,1,2,4,1,1,0,0,0,1,1,4,2,3,0,0,2,1,0,3,2,0,1,2,0,0,1,0,1,2,1,2,4,1,1,2,1,1,1,5,6,2,0,0,0,2,1,0,1,0,0,0,3,1,1,3,0,3,2,1,1,2,3,0,1,1,0,1,3,1,2,5,0,2,1,3,3,2,6,0,0,1,1,3,0,1,4,0,0,2,3,1,1,2,1,1,4,481,12,162,16,5,17,323,20,8,14,8,400,9,295,78,523,33,6,169,273,23,16,229,39,310,47,10,1235,195,11,36,245,25,53,12,309,82,60,248,650,39,47,49,80,23,26,2,604,234,7,958,18,247,209,134,398,14,103,45,98,38,18,2,110,2,17,807,158,90,132,86,70,105,5,318,109,11,149,146,384,99,29,18,30,16,2,14,14,6,4,9,12,8,13,4,9,14,15,6,1,2,1,10,4,9,761,1670,3,1,3,3,6,3,5,8,3,1,1,13,3,1,7,10,7,27,4,3,0,6,4,0,0,1,3,2,4,3,9,1,7,6,1,5,5,8,7,4,3,2,5,1,1,3,6,4,1,3,5,5,6,11,4,14,0,3,6,5,0,0,0,0
OTU2,Acidobacteria,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,6,1,0,0,1,3,0,0,0,0,0,7,0,0,13,0,1,0,0,3,1,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,7,8,28,29,3,1,306,0,5,10,4,28,3,802,1,22,3,4,21,37,12,7,25,10,18,22,3,216,6,0,17,326,3,8,12,3,164,20,16,302,3,19,6,13,4,4,1,23,147,29,11,19,23,32,13,9,7,10,22,4,12,3,2,18,5,1,190,13,9,11,2,11,2,7,36,67,10,11,4,28,42,10,123,17,76,308,75,35,236,59,62,145,71,161,219,9,38,108,80,61,359,60,8,57,68,39,18,2,0,0,0,1,0,1,0,1,0,0,2,1,1,1,0,0,3,1,0,0,0,3,0,0,3,0,1,0,0,0,0,1,1,4,3,1,1,0,0,0,1,2,0,2,0,8,0,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,1
OTU3,Actinobacteria,0,0,8,4,3,4,1,10,0,0,17,6,4,4,4,9,13,3,12,3,7,15,0,8,11,5,10,4,0,0,9,4,7,15,0,8,6,2,0,1,7,1,4,8,8,12,4,14,5,4,2,11,12,9,12,6,0,1,10,4,8,13,0,4,0,7,3,4,13,0,9,7,5,6,22,16,0,6,5,1,3,18,3,6,6,6,10,13,9,19,16,18,0,2,4,4,10,2,0,11,3,2,4,6,14,11,11,11,21,13,1916,275,3248,403,152,89,1016,195,87,89,228,4647,200,656,323,1266,478,324,1465,3286,471,305,1074,1179,3523,1254,88,1066,824,131,159,3599,874,287,369,911,897,902,1473,1672,442,1322,420,852,270,377,439,1756,420,557,11148,624,1372,3202,791,2296,69,1101,926,250,438,517,15,821,485,247,1604,2135,1401,1261,716,1006,514,115,2469,2778,145,1239,1604,1152,876,1420,856,1266,957,1015,881,319,984,1080,204,864,1160,906,912,1465,341,743,1289,767,1127,834,1542,1162,242,198,673,110,75,83,63,67,23,93,155,98,21,56,28,50,218,102,92,110,24,120,143,9,41,97,37,73,48,120,88,153,125,103,78,78,100,29,68,98,144,109,233,106,202,60,33,62,48,80,19,23,162,82,178,181,54,42,87,0,59,44,50,0,0,0,20
OTU4,Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,0,0,13,0,1,3,3,3,0,43,2,0,2,0,5,6,0,0,1,2,1,3,0,47,0,0,1,6,1,1,5,0,31,4,0,4,2,4,6,1,4,5,0,2,15,2,0,2,6,9,0,2,11,1,3,0,2,2,0,27,0,0,11,1,0,3,1,0,1,1,9,4,3,2,1,3,1,1,4,1,4,2,3,0,3,4,2,3,7,5,2,0,0,3,8,3,2,4,0,4,2,12,3,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0
OTU5,Bacteroidetes,4,5,5,11,16,5,10,12,16,13,10,13,4,6,10,13,6,13,18,6,6,19,5,5,5,14,11,6,12,6,15,22,11,10,5,4,5,6,2,10,12,3,15,6,4,19,4,12,8,7,9,6,28,11,11,33,12,15,14,14,12,19,1,9,2,8,8,15,10,6,20,5,11,15,18,37,3,5,13,7,12,46,10,11,79,17,9,18,19,11,21,8,2,3,21,11,22,7,2,24,8,2,13,4,24,16,14,19,33,11,4907,4309,2909,1759,3733,229,7806,95,407,249,702,3391,885,12886,864,2074,2989,257,8578,9702,1228,74021,1742,673,2142,4437,10794,10457,368,616,516,19509,5385,9339,11620,405,23133,22329,2943,595,945,5953,2644,5343,2168,7043,418,1474,4772,19427,3781,43854,2682,9482,5284,1708,532,3540,7652,510,1249,3867,126,45078,25509,3283,3127,2626,1596,1708,867,1746,278,190,10828,2012,17679,4021,879,2858,2711,1702,1581,1557,2134,1585,2042,1414,2318,2238,1847,1842,1593,1954,2061,1516,1581,1402,1804,1288,1718,1387,1679,2424,1965,2672,13487,564,298,114,389,288,149,340,303,352,117,218,252,365,220,331,1127,695,505,239,298,193,244,238,633,266,195,211,401,421,245,315,1015,378,411,1700,658,226,205,330,244,336,332,565,234,399,323,252,129,176,356,174,326,330,643,273,478,1,266,328,262,0,0,0,167
OTU6,Balneolaeota,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU7,Caldiserica,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,3,0,16,1,13,2,0,1,0,13,1,0,0,0,0,3,1,0,20,2,0,6,10,0,0,0,0,3,5,0,400,2,0,3,0,0,0,0,5,19,0,0,2,25,16,1,0,19,0,0,0,0,0,0,17,1,2,2,3,0,0,0,3,26,0,3,1,5,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
OTU8,Chlamydiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,8,1,0,0,16,0,0,1,0,1,1,11,1,3,0,1,15,1,1,0,4,0,0,1,1,0,1,0,0,3,1,0,1,5,4,1,1,5,1,0,0,0,1,3,0,3,5,4,1,2,0,4,0,4,3,2,4,0,0,4,0,3,0,0,15,1,13,4,0,0,8,0,7,2,1,0,3,0,2,2,14,2,30,30,31,17,3,11,3,6,16,5,3,8,16,13,21,4,28,4,11,12,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU9,Chloroflexi,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,1,2,0,0,0,0,0,0,4,0,0,8,0,1,0,0,4,1,6,0,0,0,1,1,0,0,2,0,0,1,0,1,0,2,0,1,1,35,13,95,0,13,0,234,2,5,50,4,608,24,422,79,49,26,5,134,75,38,8,35,72,73,48,4,4826,95,2,71,139,10,10,39,7,330,56,91,1097,43,25,17,31,7,16,1,268,584,27,300,20,395,112,19,68,125,20,43,125,24,22,1,75,26,7,109,120,26,27,28,22,496,5,58,180,28,7,12,30,15,178,494,164,347,252,322,246,456,110,99,489,285,520,421,27,257,451,331,177,284,192,31,111,107,856,139,17,6,2,2,5,4,4,10,4,1,1,18,1,2,2,8,6,26,4,3,3,3,4,2,2,5,3,9,2,4,3,6,3,1,11,11,6,5,1,2,0,3,7,2,1,5,4,2,2,2,7,6,2,24,1,10,0,4,1,3,0,0,0,1
OTU10,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
