Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_Species,ERZ795056
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,flavefaciens,Ruminococcus_flavefaciens,1.0
Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,pacifica,Plesiocystis_pacifica,1.0
