sample_id,dropped_analysis_id
SRS2278348,ERZ724530
SRS2278348,ERZ724547
SRS2278348,ERZ724511
SRS2278348,ERZ724555
SRS2278348,ERZ724506
SRS2278348,ERZ724535
SRS2278348,ERZ724509
SRS2278348,ERZ724548
SRS2278349,ERZ724518
SRS2278349,ERZ724515
SRS2278349,ERZ724540
SRS2278349,ERZ724531
SRS2278349,ERZ724553
SRS2278349,ERZ724534
SRS2278349,ERZ724503
SRS2278349,ERZ724558
SRS2278350,ERZ724546
SRS2278350,ERZ724517
SRS2278350,ERZ724551
SRS2278350,ERZ724520
SRS2278350,ERZ724516
SRS2278350,ERZ724539
SRS2278350,ERZ724556
SRS2278350,ERZ724559
SRS2278350,ERZ724533
SRS2278350,ERZ724527
SRS2278351,ERZ724542
SRS2278351,ERZ724523
SRS2278351,ERZ724510
SRS2278351,ERZ724554
SRS2278351,ERZ724525
SRS2278351,ERZ724537
SRS2278351,ERZ724536
SRS2278351,ERZ724504
SRS2278352,ERZ724521
SRS2278352,ERZ724545
SRS2278352,ERZ724513
SRS2278352,ERZ724541
SRS2278352,ERZ724507
SRS2278352,ERZ724512
SRS2278352,ERZ724519
SRS2278352,ERZ724557
SRS2278352,ERZ724526
SRS2278352,ERZ724550
SRS2278353,ERZ724538
SRS2278353,ERZ724505
SRS2278353,ERZ724549
SRS2278353,ERZ724532
SRS2278353,ERZ724552
SRS2278353,ERZ724543
SRS2278353,ERZ724522
SRS2278353,ERZ724544
