sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids
ERS1215575,DTU2016-1135-PRJ1066-RL-Sewage-63_S3_L001,SAMEA4044465,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023632;ERR1467143
ERS1215578,DTU2016-1138-PRJ1066-RD-Sewage-72_S6_L001,SAMEA4044468,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023647;ERR1467146
ERS1215586,DTU2016-1146-PRJ1066-RL-Sewage-80_S14_L001,SAMEA4044476,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023685;ERR1467154
ERS1217118,DTU2016-1166-PRJ1066-RD-Sewage-69_S8_L001,SAMEA4046008,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023726;ERR1470829
ERS1230337,DTU2016-1169-PRJ1066-RL-Sewage-82_S11_L001,SAMEA4059227,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023741;ERR1512985
ERS1230347,DTU2016-1492-PRJ1066-RL-Sewage-55_S5_L001,SAMEA4059237,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023769;ERR1512995
ERS1230365,DTU2016-1536-PRJ1066-RL-Sewage-90_S3_L001,SAMEA4059255,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023794;ERR1513004
ERS1230366,DTU2016-1537-PRJ1066-RD-Sewage-91_S4_L001,SAMEA4059256,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023799;ERR1513005
ERS1230367,DTU2016-1538-PRJ1066-RL-Sewage-92_S5_L001,SAMEA4059257,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023802;ERR1513006
ERS1243510,DTU2016-1601-PRJ1066-RD-Sewage-97_S1,SAMEA4072400,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023831;ERR1525434
ERS1243512,DTU2016-1605-PRJ1066-RD-Sewage-101_S5,SAMEA4072402,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023836;ERR1525436
ERS1243515,DTU2016-1610-PRJ1066-RA-Sewage-105_S9,SAMEA4072405,Danish sewage,55.6085,12.4505,Denmark,,,,ERZ1023847;ERR1525439
ERS1243522,DTU2016-1617-PRJ1066-RL-Sewage-49_S16,SAMEA4072412,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023879;ERR1525446
ERS1215584,DTU2016-1144-PRJ1066-RL-Sewage-78_S12_L001,SAMEA4044474,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023675;ERR1467152
ERS1217114,DTU2016-1162-PRJ1066-RL-Sewage-60_S4_L001,SAMEA4046004,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023705;ERR1470825
ERS1217116,DTU2016-1164-PRJ1066-RD-Sewage-67_S6_L001,SAMEA4046006,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023716;ERR1470827
ERS1217119,DTU2016-1167-PRJ1066-RD-Sewage-70_S9_L001,SAMEA4046009,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023731;ERR1470830
ERS1230340,DTU2016-1173-PRJ1066-RA-Sewage-86_S15_L001,SAMEA4059230,Danish sewage,55.6085,12.4505,Denmark,,,,ERZ1023755;ERR1512988
ERS1230345,DTU2016-1490-PRJ1066-RA-Sewage-52_S3_L001,SAMEA4059235,Danish sewage,55.6085,12.4505,Denmark,,,,ERZ1023760;ERR1512993
ERS1234045,DTU2016-1571-PRJ1066-RD-Sewage-96_S12_L001,SAMEA4062935,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023821;ERR1514429
ERS1243513,DTU2016-1606-PRJ1066-RL-Sewage-102_S6,SAMEA4072403,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023840;ERR1525437
ERS1243514,DTU2016-1609-PRJ1066-RD-Sewage-104_S8,SAMEA4072404,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023844;ERR1525438
ERS1243516,DTU2016-1611-PRJ1066-RL-Sewage-106_S10,SAMEA4072406,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023851;ERR1525440
ERS1243520,DTU2016-1615-PRJ1066-RL-Sewage-50_S14,SAMEA4072410,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023868;ERR1525444
ERS1230339,DTU2016-1171-PRJ1066-RD-Sewage-84_S13_L001,SAMEA4059229,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023750;ERR1512987
ERS1230350,DTU2016-1496-PRJ1066-RL-Sewage-87_S9_L001,SAMEA4059240,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023777;ERR1512998
ERS1215574,DTU2016-1134-PRJ1066-RL-Sewage-62_S2_L001,SAMEA4044464,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023628;ERR1467142
ERS1215580,DTU2016-1140-PRJ1066-RD-Sewage-74_S8_L001,SAMEA4044470,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023656;ERR1467148
ERS1215581,DTU2016-1141-PRJ1066-RD-Sewage-75_S9_L001,SAMEA4044471,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023661;ERR1467149
ERS1230336,DTU2016-1168-PRJ1066-RD-Sewage-71_S10_L001,SAMEA4059226,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023737;ERR1512984
ERS1234044,DTU2016-1570-PRJ1066-RL-Sewage-95_S11_L001,SAMEA4062934,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023815;ERR1514428
ERS1243519,DTU2016-1614-PRJ1066-RD-Sewage-31_S13,SAMEA4072409,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023864;ERR1525443
ERS1215582,DTU2016-1142-PRJ1066-RD-Sewage-76_S10_L001,SAMEA4044472,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023667;ERR1467150
ERS1217113,DTU2016-1161-PRJ1066-RL-Sewage-59_S3_L001,SAMEA4046003,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023700;ERR1470824
ERS1234046,DTU2016-1578-PRJ1066-RD-Sewage-103_S19_L001,SAMEA4062936,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023827;ERR1514430
ERS1243521,DTU2016-1616-PRJ1066-RA-Sewage-8_S15,SAMEA4072411,Danish sewage,55.6085,12.4505,Denmark,,,,ERZ1023875;ERR1525445
ERS1230349,DTU2016-1494-PRJ1066-RD-Sewage-66_S7_L001,SAMEA4059239,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023773;ERR1512997
ERS1234043,DTU2016-1569-PRJ1066-RD-Sewage-94_S10_L001,SAMEA4062933,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023811;ERR1514427
ERS1215576,DTU2016-1136-PRJ1066-RL-Sewage-64_S4_L001,SAMEA4044466,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023637;ERR1467144
ERS1215577,DTU2016-1137-PRJ1066-RL-Sewage-65_S5_L001,SAMEA4044467,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023642;ERR1467145
ERS1215583,DTU2016-1143-PRJ1066-RD-Sewage-77_S11_L001,SAMEA4044473,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023671;ERR1467151
ERS1217111,DTU2016-1159-PRJ1066-RL-Sewage-57_S1_L001,SAMEA4046001,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023689;ERR1470822
ERS1217117,DTU2016-1165-PRJ1066-RD-Sewage-68_S7_L001,SAMEA4046007,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023721;ERR1470828
ERS1230364,DTU2016-1535-PRJ1066-RD-Sewage-89_S2_L001,SAMEA4059254,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023787;ERR1513003
ERS1230338,DTU2016-1170-PRJ1066-RD-Sewage-83_S12_L001,SAMEA4059228,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023745;ERR1512986
ERS1230346,DTU2016-1491-PRJ1066-RA-Sewage-53_S4_L001,SAMEA4059236,Danish sewage,55.6085,12.4505,Denmark,,,,ERZ1023765;ERR1512994
ERS1230368,DTU2016-1539-PRJ1066-RD-Sewage-93_S6_L001,SAMEA4059258,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023806;ERR1513007
ERS1243517,DTU2016-1612-PRJ1066-RL-Sewage-107_S11,SAMEA4072407,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023856;ERR1525441
ERS1243518,DTU2016-1613-PRJ1066-RD-Sewage-108_S12,SAMEA4072408,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023860;ERR1525442
ERS1215579,DTU2016-1139-PRJ1066-RD-Sewage-73_S7_L001,SAMEA4044469,Danish sewage,55.6405,12.5058,Denmark,,,,ERZ1023652;ERR1467147
ERS1215585,DTU2016-1145-PRJ1066-RL-Sewage-79_S13_L001,SAMEA4044475,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023681;ERR1467153
ERS1217115,DTU2016-1163-PRJ1066-RL-Sewage-61_S5_L001,SAMEA4046005,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023710;ERR1470826
ERS1217112,DTU2016-1160-PRJ1066-RL-Sewage-58_S2_L001,SAMEA4046002,Danish sewage,55.695,12.615,Denmark,,,,ERZ1023696;ERR1470823
ERS1215573,DTU2016-1133-PRJ1066-RA-Sewage-54_S1_L001,SAMEA4044463,Danish sewage,55.6085,12.4505,Denmark,,,,ERZ1023622;ERR1467141
ERS1230348,Danish sewage,SAMEA4059238,Danish sewage,55.695,12.615,Denmark,,,,ERR1512996
ERS1230363,Danish sewage,SAMEA4059253,Danish sewage,55.695,12.615,Denmark,,,,ERR1513002
ERS1230341,Danish sewage,SAMEA4059231,"Negative control sample for samples 57 - 61, 67-71, 82-86",55.695,12.615,Denmark,,,,ERR1512989
ERS1230342,Danish sewage,SAMEA4059232,Danish sewage,55.695,12.615,Denmark,,,,ERR1512990
ERS1230343,Danish sewage,SAMEA4059233,Danish sewage,55.6405,12.5058,Denmark,,,,ERR1512991
ERS1230344,Danish sewage,SAMEA4059234,Danish sewage,55.695,12.615,Denmark,,,,ERR1512992
ERS1230351,Danish sewage,SAMEA4059241,"Negative control for samples; 32, 51-53, 55-56, 66, 87-93",55.6405,12.5058,Denmark,,,,ERR1512999
ERS1230352,Danish sewage,SAMEA4059242,"Negative control for samples; 32, 51-53, 55-56, 66, 87-93",55.6405,12.5058,Denmark,,,,ERR1513000
ERS1230353,Danish sewage,SAMEA4059243,Danish sewage,55.6405,12.5058,Denmark,,,,ERR1513001
ERS1243511,Danish sewage,SAMEA4072401,Danish sewage,55.695,12.615,Denmark,,,,ERR1525435
