OTU,ERR3258496,DRR066655,DRR066667,DRR066657,DRR066668,DRR066659,DRR066660
OTU145,2,0,0,0,0,0,0
OTU146,13,0,0,0,0,0,0
OTU147,12,0,0,0,0,0,0
OTU148,29,0,0,0,0,0,0
OTU149,1,0,0,1,0,0,0
OTU150,11,0,0,0,0,0,0
OTU151,1,0,0,7,0,0,0
OTU152,1,0,0,0,0,0,0
OTU153,1,0,0,0,0,0,0
OTU154,1,0,0,0,0,0,0
OTU155,2,0,0,0,0,0,0
OTU156,3,0,0,0,0,0,0
OTU157,1,0,0,0,0,0,0
OTU158,11,4,0,35,0,0,0
OTU159,9,0,0,0,0,0,0
OTU160,219,4,0,78,0,0,0
OTU161,8,0,0,0,0,0,0
OTU162,105,0,0,0,0,0,0
OTU163,1,0,0,0,0,0,0
OTU164,47,0,0,0,0,0,0
OTU165,9,0,0,0,0,0,0
OTU166,1,0,0,0,0,0,0
OTU167,7,0,0,0,0,0,0
OTU168,2,0,0,0,0,0,0
OTU169,1,0,0,0,0,0,0
OTU170,77,0,0,0,0,0,0
OTU171,1,0,0,0,0,0,0
OTU172,584,0,0,0,0,0,9
OTU173,2,0,0,0,0,0,0
OTU174,2,0,0,0,0,0,0
OTU175,180,0,0,1,0,0,0
OTU176,50,0,0,0,0,0,0
OTU177,17,0,0,0,0,0,0
OTU178,55,1,0,0,0,3,2
OTU179,2,0,0,0,0,0,0
OTU180,3,0,0,0,0,0,0
OTU181,5,0,0,0,0,0,0
OTU182,3,0,0,0,0,0,0
OTU183,62,0,0,0,0,0,0
OTU184,14557,1,0,54,0,0,0
OTU185,1,0,0,0,0,0,0
OTU186,254,3,1,8,1,0,1
OTU187,1,0,0,0,0,0,0
OTU188,28,0,0,0,0,0,0
OTU189,135,3,0,2,0,0,0
OTU190,97,0,0,0,0,0,0
OTU191,5,0,0,0,0,0,0
OTU192,453,0,1,0,0,0,0
OTU193,195,0,0,0,0,0,0
OTU194,1,0,0,0,0,0,0
OTU195,1,0,0,0,0,0,0
OTU196,44,0,0,0,0,0,0
OTU197,1,0,0,0,0,0,0
OTU198,1,1,0,0,0,0,0
OTU199,2,0,3,0,0,0,0
OTU200,72,0,5,0,1,0,0
OTU201,8,0,0,0,0,0,0
OTU202,3,0,0,0,0,0,0
OTU203,5,0,0,0,0,0,0
OTU204,31,1,0,0,0,1,1
OTU205,1,0,0,0,0,0,0
OTU206,2,0,10,0,1,0,0
OTU207,3,0,0,0,0,0,0
OTU208,2,0,0,0,0,0,0
OTU209,1,0,0,0,0,0,0
OTU210,1,0,0,0,0,0,0
OTU211,1,0,0,0,0,0,0
OTU212,3,7,2,3,1,0,0
OTU213,18,0,0,0,0,0,0
OTU214,1,1,2,2,0,0,0
OTU215,5,0,0,0,0,0,0
OTU216,4,0,0,0,0,0,0
OTU217,2,0,1,0,1,0,0
OTU218,300,2244,12,5768,5,0,0
OTU219,12,16,10,52,2,0,1
OTU220,10,0,0,0,0,0,0
OTU221,2436,1030,9,318,4,0,1
OTU222,4,0,0,2,0,0,0
OTU223,4,0,0,4,0,0,2
OTU224,71,0,2,0,1,0,0
OTU225,1,4,0,12,0,0,0
OTU226,1,1,0,2,0,0,0
OTU227,3,0,0,5,0,0,0
OTU228,30,0,0,0,0,0,0
OTU229,172,0,0,0,0,0,0
OTU230,1,0,0,0,0,0,0
OTU231,21,0,0,0,0,0,0
OTU232,2,1,0,1,0,1,3
OTU233,8,0,0,0,0,0,0
OTU234,16,0,0,0,0,0,0
OTU235,14,0,0,0,0,0,0
OTU236,4,0,0,0,0,0,0
OTU237,9,0,0,0,0,0,0
OTU238,3,0,0,0,0,0,0
OTU239,122,0,0,0,0,0,0
OTU240,16,0,0,0,0,0,0
OTU241,14,0,0,0,0,0,0
OTU242,13,0,0,0,0,0,0
OTU243,8,0,0,0,0,0,0
OTU244,1,0,0,0,0,0,0
OTU245,25,0,0,0,0,0,0
OTU246,1,0,0,0,0,0,0
OTU247,3,0,0,0,0,0,0
OTU248,0,5,0,5,1,3,2
OTU249,0,0,0,0,0,0,1
OTU250,0,0,0,0,1,0,0
OTU251,0,0,0,0,1,0,0
OTU252,0,216,20019,233,18543,27,155
OTU253,0,55,1045,63,619,14,52
OTU254,0,125,30539,242,22790,150,616
OTU255,0,0,21,0,14,1,0
OTU256,0,0,61,0,30,9,55
OTU257,0,0,0,0,0,0,2
OTU258,0,0,0,0,6,0,0
OTU259,0,0,57,0,29,0,0
OTU260,0,0,1171,1,496,4,9
OTU261,0,0,548,3,189,3,43
OTU262,0,0,66,0,19,0,1
OTU263,0,0,21219,2,9921,7,46
OTU264,0,0,384,0,168,0,3
OTU265,0,0,38,0,19,0,0
OTU266,0,0,17,0,12,0,0
OTU267,0,103,2320978,963,938254,2264,11893
OTU268,0,0,0,0,1,0,0
OTU269,0,22,23152,38,64848,43,111
OTU270,0,1,0,0,0,0,0
OTU271,0,0,0,1,0,0,0
OTU272,0,84,1,44,0,0,0
OTU273,0,0,0,0,0,0,0
OTU274,0,1,0,0,0,0,0
OTU275,0,1,1,0,0,0,0
OTU276,0,10,0,4,1,0,0
OTU277,0,3,0,2,0,0,0
OTU278,0,0,0,0,0,0,0
OTU279,0,1,0,0,0,0,0
OTU280,0,1,0,2,0,0,0
OTU281,0,0,0,1,0,0,0
OTU282,0,12,0,10,0,0,0
OTU283,0,1,0,0,0,0,0
OTU284,0,0,0,1,0,0,0
OTU285,0,2,0,0,0,1,0
OTU286,0,4,0,2,0,0,0
OTU287,0,0,1,0,0,0,0
OTU288,0,1,0,0,0,1,1
OTU289,0,0,4,1,0,0,0
OTU290,0,0,0,1,0,0,0
OTU291,0,0,1,0,0,0,1
OTU292,0,1,0,3,0,0,0
OTU293,0,58,1,129,0,0,0
OTU294,0,8,0,1,0,0,0
OTU295,0,5,0,13,0,0,0
OTU296,0,3,0,13,0,0,0
OTU297,0,0,0,2,0,0,0
OTU298,0,0,0,10,0,0,0
OTU299,0,0,9,0,6,0,0
OTU300,0,2,0,1,0,0,0
OTU301,0,5,0,4,0,2,1
OTU302,0,11,0,5,0,0,0
OTU303,0,2,1,2,0,0,0
OTU304,0,2,0,3,0,7,0
OTU305,0,7,0,3,0,4,1
OTU306,0,1,0,1,0,0,0
OTU307,0,2,0,1,0,3,1
OTU308,0,0,0,0,0,0,0
OTU309,0,5,0,1,0,0,0
OTU310,0,0,0,1,0,0,0
OTU311,0,13,0,10,0,1,0
OTU312,0,1,0,0,0,0,0
OTU313,0,0,0,1,0,0,0
OTU314,0,0,0,2,0,0,0
OTU315,0,1,0,0,0,0,0
OTU316,0,0,0,1,0,0,0
OTU317,0,0,1,1,0,0,0
OTU318,0,19,0,14,0,0,0
OTU319,0,19,0,26,0,1,1
OTU320,0,11,0,9,0,0,0
OTU321,0,0,0,4,0,0,0
OTU322,0,0,0,2,0,0,0
OTU323,0,4,0,13,0,0,0
OTU324,0,1,0,0,0,0,0
OTU325,0,1,0,10,0,0,0
OTU326,0,0,0,7,0,0,0
OTU327,0,0,0,1,0,0,0
OTU328,0,6,0,11,0,0,0
OTU329,0,0,0,2,0,0,0
OTU330,0,0,0,2,0,0,0
OTU331,0,0,0,1,0,0,0
OTU332,0,1,0,5,0,0,0
OTU333,0,0,0,4,0,0,0
OTU334,0,0,0,0,1,0,0
OTU335,0,0,0,1,0,0,0
OTU336,0,0,0,0,0,0,1
OTU337,0,0,0,2,0,0,0
OTU338,0,0,0,11,0,0,0
OTU339,0,0,0,11,0,0,0
OTU340,0,0,0,2,0,0,0
OTU341,0,1,0,3,0,0,0
OTU342,0,15,0,5,0,0,0
OTU343,0,0,0,0,0,3,77
OTU344,0,0,0,0,0,0,0
OTU345,0,0,1,0,0,0,0
OTU346,0,1,0,0,0,2,0
OTU347,0,0,0,0,0,0,1
OTU348,0,2,0,6,0,6,4
OTU349,0,1,1,0,0,0,0
OTU350,0,0,0,2,0,1,0
OTU351,0,6,0,2,0,1,0
OTU352,0,1,0,0,0,0,0
OTU353,0,59,0,21,2,3,5
OTU354,0,0,0,190,4,100,7
OTU355,0,68,0,2,0,0,0
OTU356,0,78,1,11,1,14,0
OTU357,0,8,0,2,0,0,2
OTU358,0,16,0,5,0,1,0
OTU359,0,1,0,0,0,0,0
OTU360,0,1,0,0,0,0,0
OTU361,0,67,0,4,0,2,0
OTU362,0,0,0,0,1,0,0
OTU363,0,22,0,2,0,2,0
OTU364,0,271,2,9,1,5,0
OTU365,0,1,0,6,0,0,0
OTU366,0,11,0,0,0,1,0
OTU367,0,1,0,1,0,0,1
OTU368,0,196,0,11,0,24,0
OTU369,0,0,0,4,0,2,0
OTU370,0,35,0,1,0,2,0
OTU371,0,3,0,3,0,0,1
OTU372,0,191,0,7,2,17,0
OTU373,0,354,1,21,0,20,2
OTU374,0,536,8,129,9,58,7
OTU375,0,11,0,0,0,1,0
OTU376,0,763,1,57,9,61,0
OTU377,0,0,0,0,1,0,0
OTU378,0,1,0,0,0,0,0
OTU379,0,10,0,3,0,0,0
OTU380,0,71,3,5,0,2,0
OTU381,0,16,0,1,0,0,0
OTU382,0,78,0,1,1,2,0
OTU383,0,9,0,40,1,15,2
OTU384,0,0,0,0,1,0,0
OTU385,0,14,0,4,1,0,0
OTU386,0,0,0,1,0,0,0
OTU387,0,3,0,0,1,0,0
OTU388,0,32,0,0,0,2,0
OTU389,0,41,6,40,7,5,3
OTU390,0,59,7,18,0,0,0
OTU391,0,1,1,0,0,0,1
OTU392,0,1,0,2,0,1,2
OTU393,0,0,0,0,0,0,0
OTU394,0,0,0,1,0,3,1
OTU395,0,1,0,1,0,0,0
OTU396,0,9,0,5,0,0,2
OTU397,0,3,0,0,0,1,0
OTU398,0,21,1,2,2,1,0
OTU399,0,1,0,0,0,0,0
OTU400,0,10,0,1,0,0,0
OTU401,0,4,0,0,0,0,0
OTU402,0,0,0,1,0,1,0
OTU403,0,2,0,2,0,1,0
OTU404,0,0,0,0,0,0,0
OTU405,0,1,0,7,0,0,0
OTU406,0,31,4,7,1,2,0
OTU407,0,1,1,0,0,0,0
OTU408,0,10,0,2,0,1,0
OTU409,0,27,0,29,0,0,2
OTU410,0,2,0,1,1,0,0
OTU411,0,76,4,398,11,17,10
OTU412,0,1,0,0,0,0,0
OTU413,0,60,2,38,1,1,0
OTU414,0,15,0,19,0,0,1
OTU415,0,8,0,2,0,0,0
OTU416,0,1,0,2,0,0,0
OTU417,0,9,2,29,6,6833,777
OTU418,0,2,0,0,0,0,1
OTU419,0,29,5,18,5,2,5
OTU420,0,3,0,1,0,0,0
OTU421,0,21,0,5,0,2,1
OTU422,0,368,1,448,12,106,35
OTU423,0,6030,194,9489,1097,370,355
OTU424,0,17,1,18,12,21,16
OTU425,0,20,0,9,0,0,0
OTU426,0,1,0,0,0,0,0
OTU427,0,654,1,482,8,3,6
OTU428,0,4,0,12,0,0,1
OTU429,0,27,2,14,0,0,0
OTU430,0,0,0,1,0,0,0
OTU431,0,6,0,0,0,0,0
OTU432,0,460,1,404,15,1,1
OTU433,0,17,0,11,0,0,0
OTU434,0,23,0,24,5,2,0
OTU435,0,23,0,23,0,1,0
OTU436,0,4,0,2,1,0,1
OTU437,0,0,0,0,0,0,0
OTU438,0,19,0,4,1,1,5
OTU439,0,124,0,205,13,60,19
OTU440,0,47,0,20,1,4,11
OTU441,0,5,0,4,0,0,1
OTU442,0,182,22,20,21,21,39
OTU443,0,32,0,31,3,5,2
OTU444,0,14,2,17,8,14,17
OTU445,0,0,0,1,0,0,0
OTU446,0,1,0,0,0,0,1
OTU447,0,3,0,3,0,0,0
OTU448,0,1,0,0,0,0,0
OTU449,0,0,0,1,0,0,0
OTU450,0,15,1,9,0,1,3
OTU451,0,67,2,61,2,3,4
OTU452,0,244,1,125,1,36,6
OTU453,0,144,3,123,3,23,6
OTU454,0,1025,31,533,70,52,53
OTU455,0,1,0,4,0,3,0
OTU456,0,0,0,0,0,0,1
OTU457,0,125,2,10,1,13,45
OTU458,0,351,12,223,26,80,87
OTU459,0,1,0,3,0,1,0
OTU460,0,1,0,1,0,0,0
OTU461,0,0,0,1,0,1,0
OTU462,0,0,0,3,0,0,0
OTU463,0,1,0,4,0,0,0
OTU464,0,4,0,3,0,14,1
OTU465,0,41,0,45,2,12,6
OTU466,0,7,0,1,0,0,0
OTU467,0,308,6,313,70,44,60
OTU468,0,0,0,2,0,0,0
OTU469,0,1,0,0,0,0,0
OTU470,0,0,0,1,1,0,0
OTU471,0,0,0,1,0,0,0
OTU472,0,0,0,4,0,0,0
OTU473,0,0,1,0,0,0,0
OTU474,0,0,0,1,0,0,0
OTU475,0,0,0,0,0,0,1
OTU476,0,0,1,0,2,1,4
OTU477,0,16,3,24,1,4,4
OTU478,0,12,0,17,2,9,5
OTU479,0,30,5,292,33,1,0
OTU480,0,0,0,1,0,0,0
OTU481,0,18,0,29,0,1,2
OTU482,0,17,0,3,0,14,1
OTU483,0,3,0,3,1,1,0
OTU484,0,8,0,7,3,10,5
OTU485,0,1,0,1,0,2,0
OTU486,0,73,2,67,5,55,10
OTU487,0,19,0,16,2,32,20
OTU488,0,79,11,54,5,79,14
OTU489,0,454,137,309,138,316,65
OTU490,0,1099,60,881,95,691,169
OTU491,0,13,0,8,2,48,0
OTU492,0,46138,6980,23608,6318,4959,3523
OTU493,0,1,0,0,0,0,0
OTU494,0,0,1,0,1,0,0
OTU495,0,28,23,73,40,89,26
OTU496,0,0,0,0,0,0,0
OTU497,0,34,0,5,0,0,0
OTU498,0,6,0,2,0,0,0
OTU499,0,24,0,4,0,0,0
OTU500,0,5,0,0,0,0,0
OTU501,0,0,0,2,0,0,0
OTU502,0,0,0,2,0,0,0
OTU503,0,1,0,0,0,0,0
OTU504,0,0,0,2,0,0,0
OTU505,0,1,0,3,1,0,0
OTU506,0,10,4,11,0,0,4
OTU507,0,68,0,113,0,0,0
OTU508,0,1,0,1,0,0,0
OTU509,0,5,0,11,0,0,0
OTU510,0,7,0,0,0,0,0
OTU511,0,1,0,0,0,0,0
OTU512,0,0,0,1,0,0,0
OTU513,0,0,0,1,0,0,0
OTU514,0,2,0,0,0,0,0
OTU515,0,0,0,1,0,0,0
OTU516,0,0,0,1,0,0,0
OTU517,0,4,0,22,0,0,0
OTU518,0,10,0,29,0,0,1
OTU519,0,0,0,1,0,0,0
OTU520,0,8,0,35,0,0,0
OTU521,0,0,0,1,0,0,0
OTU522,0,2,0,2,0,0,1
OTU523,0,3,0,4,0,0,0
OTU524,0,18,0,12,0,0,0
OTU525,0,1,0,0,0,0,0
OTU526,0,6,0,5,1,0,0
OTU527,0,0,0,0,0,1,1
OTU528,0,1,0,1,0,1,5
OTU529,0,0,1,0,0,0,0
OTU530,0,0,0,5,0,0,0
OTU531,0,0,0,2,0,0,0
OTU532,0,0,0,7,0,0,0
OTU533,0,0,0,6,0,0,0
OTU534,0,0,0,19,0,0,0
OTU535,0,0,0,4,0,0,0
OTU536,0,1,0,5,0,0,0
OTU537,0,29,0,28,0,0,1
OTU538,0,1,0,2,0,0,0
OTU539,0,1,0,1,0,0,0
OTU540,0,4,0,6,0,1,1
OTU541,0,0,0,2,0,0,0
OTU542,0,1,0,0,0,0,0
OTU543,0,0,0,1,0,0,0
OTU544,0,0,0,3,0,0,0
OTU545,0,0,0,1,0,0,0
OTU546,0,1,0,8,0,0,1
OTU547,0,1,0,1,0,2,0
OTU548,0,0,0,0,0,0,0
OTU549,0,0,0,2,0,0,0
OTU550,0,0,0,2,0,0,0
OTU551,0,1,0,0,0,0,0
OTU552,0,3,0,35,0,0,0
OTU553,0,0,0,1,0,0,0
OTU554,0,0,0,1,0,0,0
OTU555,0,0,0,1,0,0,0
OTU556,0,0,0,2,0,0,0
OTU557,0,1,0,2,0,0,0
OTU558,0,0,0,0,0,0,0
OTU559,0,0,0,0,0,0,2
OTU560,0,2,0,0,0,0,1
OTU561,0,1,0,0,0,0,0
OTU562,0,3,0,5,0,0,0
OTU563,0,0,0,2,0,0,0
OTU564,0,0,0,0,1,0,0
OTU565,0,68,0,1169,0,0,1
OTU566,0,0,0,2,0,0,0
OTU567,0,0,0,2,0,0,0
OTU568,0,0,0,1,0,0,0
OTU569,0,3,1,13,0,0,0
OTU570,0,2,0,6,0,0,0
OTU571,0,1,0,0,0,2,0
OTU572,0,0,0,0,0,0,1
OTU573,0,0,0,0,0,0,0
OTU574,0,0,0,1,0,0,0
OTU575,0,2,0,0,0,0,0
OTU576,0,1,0,0,0,0,0
OTU577,0,0,0,4,0,0,1
OTU578,0,1,0,1,0,0,0
OTU579,0,56,0,4,0,7,0
OTU580,0,0,3,0,0,0,0
OTU581,0,7,0,1,0,0,0
OTU582,0,0,1,0,0,0,0
OTU583,0,0,0,1,0,0,0
OTU584,0,1,0,0,0,4,3
OTU585,0,0,0,1,0,0,0
OTU586,0,0,7,0,7,0,0
OTU587,0,0,0,0,1,0,0
OTU588,0,0,1111,0,407,0,0
OTU589,0,0,2,0,1,0,0
OTU590,0,0,3,0,2,0,0
OTU591,0,0,2,0,0,0,0
OTU592,0,0,9,0,0,0,0
OTU593,0,0,52,1,15,0,0
OTU594,0,0,2,0,0,0,0
OTU595,0,0,1,0,0,0,0
OTU596,0,0,1,0,0,0,0
OTU597,0,0,1,0,0,0,0
OTU598,0,0,1,0,0,0,0
OTU599,0,0,4,0,0,0,0
OTU600,0,0,7,0,3,0,0
OTU601,0,0,9,0,2,0,0
OTU602,0,0,2,0,1,0,0
OTU603,0,0,3,0,1,0,0
OTU604,0,0,3,0,1,0,0
OTU605,0,0,2,0,0,0,0
OTU606,0,0,5,0,1,0,0
OTU607,0,0,0,0,1,0,0
OTU608,0,0,16,0,8,0,0
OTU609,0,0,6,0,1,0,0
OTU610,0,0,7,0,0,0,0
OTU611,0,0,2,0,2,0,0
OTU612,0,0,5,0,0,0,0
OTU613,0,0,7,0,3,0,0
OTU614,0,0,1,0,0,0,0
OTU615,0,0,0,0,0,0,0
OTU616,0,0,3,0,1,0,0
OTU617,0,0,0,0,1,0,0
OTU618,0,0,1,0,0,0,0
OTU619,0,20,1,25,0,0,0
OTU620,0,0,1,0,0,0,0
OTU621,0,0,1,0,0,0,0
OTU622,0,0,1,0,0,0,0
OTU623,0,12,2,34,0,0,0
OTU624,0,93,0,223,1,0,1
OTU625,0,1,0,0,0,0,0
OTU626,0,0,2,5,0,0,0
OTU627,0,0,4,0,0,0,0
OTU628,0,5,0,9,0,0,0
OTU629,0,0,1,0,0,0,0
OTU630,0,0,2,0,2,0,0
OTU631,0,26,0,38,2,0,0
OTU632,0,0,0,3,0,0,0
OTU633,0,2,0,3,0,0,0
OTU634,0,10,0,26,0,0,0
OTU635,0,1,0,0,0,0,0
OTU636,0,20,0,12,0,0,1
OTU637,0,0,0,4,0,0,1
OTU638,0,12,0,13,1,8,2
OTU639,0,9101,5625,7372,4716,2089,1401
OTU640,0,0,1,0,3,0,0
OTU641,0,0,0,0,0,0,1
OTU642,0,1,0,1,0,0,0
OTU643,0,18,1,4,1,2,3
OTU644,0,3,0,1,1,6,7
OTU645,0,89,19,15,20,9,13
OTU646,0,0,0,0,0,0,0
