kingdom,phylum,ERR1233629
Bacteria,Acidobacteria,30
Bacteria,Actinobacteria,238
Bacteria,Armatimonadetes,2
Bacteria,Bacteroidetes,2244
Bacteria,Chlamydiae,6
Bacteria,Chlorobi,101
Bacteria,Chloroflexi,190
Bacteria,Cyanobacteria,5
Bacteria,Firmicutes,3
Bacteria,Gemmatimonadetes,77
Bacteria,Nitrospirae,2
Bacteria,Planctomycetes,18
Bacteria,Proteobacteria,18184
Bacteria,Spirochaetes,2
Bacteria,Verrucomicrobia,165
