kingdom,phylum,ERZ795066
Archaea,Crenarchaeota,1
Archaea,Euryarchaeota,10
Bacteria,Acidobacteria,2
Bacteria,Actinobacteria,7
Bacteria,Bacteroidetes,18
Bacteria,Chloroflexi,19
Bacteria,Fibrobacteres,3
Bacteria,Firmicutes,63
Bacteria,Kiritimatiellaeota,3
Bacteria,Lentisphaerae,6
Bacteria,Planctomycetes,11
Bacteria,Proteobacteria,14
Bacteria,Spirochaetes,10
Bacteria,Synergistetes,6
Bacteria,Tenericutes,12
Bacteria,Thermotogae,3
Bacteria,Verrucomicrobia,7
